query	44 references	461 citations	VinVL: Revisiting Visual Representations in Vision-Language Models
citation	235692795	251063889	0	Object Prior Embedded Network for Query-Agnostic Image Retrieval
citation	235692795	250520356	2	Maintaining Reasoning Consistency in Compositional Visual Question Answering
citation	235692795	249192378	7	VLUE: A Multi-Task Benchmark for Evaluating Vision-Language Models
citation	235692795	249192199	33	CyCLIP: Cyclic Contrastive Language-Image Pretraining
citation	235692795	249063057	5	DisinfoMeme: A Multimodal Dataset for Detecting Meme Intentionally Spreading Out Disinformation
citation	235692795	249084508	23	A Survey on Long-Tailed Visual Recognition
citation	235692795	249018141	36	mPLUG: Effective and Efficient Vision-Language Learning by Cross-modal Skip-connections
citation	235692795	249018103	3	HiVLP: Hierarchical Vision-Language Pre-Training for Fast Image-Text Retrieval
citation	235692795	249062729	0	Face2Text revisited: Improved data set and baseline results
citation	235692795	252647793	15	M-FFN: multi-scale feature fusion network for image captioning
citation	235692795	248987282	9	PEVL: Position-enhanced Pre-training and Prompt Tuning for Vision-language Models
citation	235692795	248987346	31	Language Models with Image Descriptors are Strong Few-Shot Video-Language Learners
citation	235692795	248834284	9	Gender and Racial Bias in Visual Question Answering Datasets
citation	235692795	248722127	5	Localized Vision-Language Matching for Open-vocabulary Object Detection
citation	235692795	248721941	3	What’s in a Caption? Dataset-Specific Linguistic Diversity and Its Effect on Visual Description Models and Metrics
citation	235692795	248762420	3	Enhance understanding and reasoning ability for image captioning
citation	235692795	248572429	13	Beyond a Pre-Trained Object Detector: Cross-Modal Textual and Visual Context for Image Captioning
citation	235692795	248572380	2	Beyond Bounding Box: Multimodal Knowledge Learning for Object Detection
citation	235692795	248524714	6	Declaration-based Prompt Tuning for Visual Question Answering
citation	235692795	248525064	40	Language Models Can See: Plugging Visual Controls in Text Generation
citation	235692795	248512473	372	CoCa: Contrastive Captioners are Image-Text Foundation Models
citation	235692795	248512968	27	All You May Need for VQA are Image Captions
citation	235692795	248496280	10	Answer-Me: Multi-Task Open-Vocabulary Visual Question Answering
citation	235692795	248476188	26	PyramidCLIP: Hierarchical Feature Alignment for Vision-language Model Pretraining
citation	235692795	248476411	583	Flamingo: a Visual Language Model for Few-Shot Learning
citation	235692795	248408608	9	Deep Learning-Based Identification of Maize Leaf Diseases Is Improved by an Attention Mechanism: Self-Attention
citation	235692795	248426953	9	Reliable Visual Question Answering: Abstain Rather Than Answer Incorrectly
citation	235692795	248366429	4	Multimodal Adaptive Distillation for Leveraging Unimodal Encoders for Vision-Language Tasks
citation	235692795	248266901	27	K-LITE: Learning Transferable Visual Models with External Knowledge
citation	235692795	248227577	5	Vision-Language Pre-Training for Multimodal Aspect-Based Sentiment Analysis
citation	235692795	248227296	11	MUGEN: A Playground for Video-Audio-Text Multimodal Understanding and GENeration
citation	235692795	248218570	23	COTS: Collaborative Two-Stream Vision-Language Pre-Training Model for Cross-Modal Retrieval
citation	235692795	248218612	17	Vision-and-Language Pretrained Models: A Survey
citation	235692795	248118561	34	ReCLIP: A Strong Zero-Shot Baseline for Referring Expression Comprehension
citation	235692795	248118610	20	X-DETR: A Versatile Architecture for Instance-wise Vision-Language Tasks
citation	235692795	248136771	4	Attention Map-Guided Visual Explanations for Deep Neural Networks
citation	235692795	248085871	2	XMP-Font: Self-Supervised Cross-Modality Pre-training for Few-Shot Font Generation
citation	235692795	248085559	8	ManiTrans: Entity-Level Text-Guided Image Manipulation via Token-wise Semantic Alignment and Generation
citation	235692795	248006414	88	Winoground: Probing Vision and Language Models for Visio-Linguistic Compositionality
citation	235692795	248006101	82	Unified Contrastive Learning in Image-Text-Label Space
citation	235692795	247942360	3	Representing Context in FrameNet: A Multidimensional, Multimodal Approach
citation	235692795	247839259	3	FindIt: Generalized Localization with Natural Language Queries
citation	235692795	247839676	17	ViSTA: Vision and Scene Text Aggregation for Cross-Modal Retrieval
citation	235692795	247778943	0	Fine-Grained Visual Entailment
citation	235692795	247763152	18	Image-text Retrieval: A Survey on Recent Research and Development
citation	235692795	247762352	7	Single-Stream Multi-Level Alignment for Vision-Language Pretraining
citation	235692795	247518651	5	DU-VLG: Unifying Vision-and-Language Generation via Dual Sequence-to-Sequence Pre-training
citation	235692795	247450642	16	Things not Written in Text: Exploring Spatial Commonsense from Visual Signals
citation	235692795	247447209	38	CLIP Models are Few-Shot Learners: Empirical Studies on VQA and Visual Entailment
citation	235692795	247446830	7	Towards Visual-Prompt Temporal Answering Grounding in Medical Instructional Video
citation	235692795	247447159	28	Enabling Multimodal Generation on CLIP via Vision-Language Knowledge Distillation
citation	235692795	247362532	5	StyleBabel: Artistic Style Tagging and Captioning
citation	235692795	247362966	4	LoopITR: Combining Dual and Cross Encoder Architectures for Image-Text Retrieval
citation	235692795	247315595	21	A Simple Multi-Modality Transfer Learning Baseline for Sign Language Translation
citation	235692795	247315670	12	Where Does the Performance Improvement Come From?: - A Reproducibility Concern about Image-Text Retrieval
citation	235692795	247222861	9	Vision-Language Intelligence: Tasks, Representation Learning, and Large Models
citation	235692795	247187970	10	Unsupervised Vision-and-Language Pretraining via Retrieval-based Multi-Granular Alignment
citation	235692795	247187508	30	CLIP-GEN: Language-Free Training of a Text-to-Image Generator with CLIP
citation	235692795	247188066	21	Multi-modal Alignment using Representation Codebook
citation	235692795	247083956	2	Measuring CLEVRness: Blackbox testing of Visual Reasoning Models
citation	235692795	247025790	11	CaMEL: Mean Teacher Learning for Image Captioning
citation	235692795	247011309	87	Vision-Language Pre-Training with Triple Contrastive Learning
citation	235692795	246996617	33	VLP: A Survey on Vision-language Pre-training
citation	235692795	246863399	17	CommerceMM: Large-Scale Commerce MultiModal Representation Learning with Omni Retrieval
citation	235692795	246867017	1	Privacy Preserving Visual Question Answering
citation	235692795	246731459	0	An experimental study of the vision-bottleneck in VQA
citation	235692795	246634906	323	Unifying Architectures, Tasks, and Modalities Through a Simple Sequence-to-Sequence Learning Framework
citation	235692795	246634787	0	Catch Me if You Can: A Novel Task for Detection of Covert Geo-Locations (CGL)
citation	235692795	246607802	15	Grounding Answers for Visual Questions Asked by Visually Impaired People
citation	235692795	246566716	1	Image-Captioning Model Compression
citation	235692795	246430542	0	Deep Learning Approaches on Image Captioning: A Review
citation	235692795	246430297	9	A dataset for medical instructional video classification and question answering
citation	235692795	252222245	1	MVPTR: Multi-Level Semantic Alignment for Vision-Language Pre-Training via Multi-Stage Learning
citation	235692795	246294681	2	Transformer Module Networks for Systematic Generalization in Visual Question Answering
citation	235692795	246285660	0	MGA-VQA: Multi-Granularity Alignment for Visual Question Answering
citation	235692795	246285542	1	SA-VQA: Structured Alignment of Visual and Semantic Representations for Visual Question Answering
citation	235692795	247780513	0	Do Smart Glasses Dream of Sentimental Visions?
citation	235692795	246015706	15	CLIP-TD: CLIP Targeted Distillation for Vision-Language Tasks
citation	235692795	245906203	43	CLIP-Event: Connecting Text and Images with Event Structures
citation	235692795	245837609	69	MERLOT RESERVE: Neural Script Knowledge through Vision and Language and Sound
citation	235692795	245769906	5	Compact Bidirectional Transformer for Image Captioning
citation	235692795	245668891	2	StyleM: Stylized Metrics for Image Captioning Built with Contrastive N-grams
citation	235692795	245634812	31	ERNIE-ViLG: Unified Generative Pre-training for Bidirectional Vision-Language Generation
citation	235692795	250627406	5	Contrastive Vision-Language Pre-training with Limited Resources
citation	235692795	245219186	8	Distilled Dual-Encoder Model for Vision-Language Understanding
citation	235692795	245218534	123	RegionCLIP: Region-based Language-Image Pretraining
citation	235692795	245935480	2	MM-trafficEvent: An Interactive Incident Retrieval System for First-view Travel-log Data
citation	235692795	245131534	7	Dual-Key Multimodal Backdoors for Visual Question Answering
citation	235692795	245124165	7	ITA: Image-Text Alignments for Multi-Modal Named Entity Recognition
citation	235692795	245117852	49	MAGMA - Multimodal Augmentation of Generative Models through Adapter-based Finetuning
citation	235692795	244954250	203	FLAVA: A Foundational Language And Vision Alignment Model
citation	235692795	244954552	35	Everything at Once – Multi-modal Fusion Transformer for Video Retrieval
citation	235692795	244920947	198	Grounded Language-Image Pre-training
citation	235692795	244908314	33	General Facial Representation Learning in a Visual-Linguistic Manner
citation	235692795	244773394	33	Object-aware Video-language Pre-training for Retrieval
citation	235692795	244714558	50	ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic
citation	235692795	244714549	66	Towards Language-Free Training for Text-to-Image Generation
citation	235692795	244709355	16	VL-LTR: Learning Class-wise Visual-Linguistic Representation for Long-Tailed Visual Recognition
citation	235692795	244527510	97	Scaling Up Vision-Language Pretraining for Image Captioning
citation	235692795	247778870	6	Universal Captioner: Inducing Content-Style Separation in Vision-and-Language Model Training
citation	235692795	251105279	23	UniTAB: Unifying Text and Box Outputs for Grounded Vision-Language Modeling
citation	235692795	244477674	338	Florence: A New Foundation Model for Computer Vision
citation	235692795	244346239	202	ClipCap: CLIP Prefix for Image Captioning
citation	235692795	244270283	3	Achieving Human Parity on Visual Question Answering
citation	235692795	244129883	96	Multi-Grained Vision Language Pre-Training: Aligning Texts with Visual Concepts
citation	235692795	243985875	59	A Survey of Visual Transformers
citation	235692795	244117525	216	FILIP: Fine-grained Interactive Language-Image Pre-Training
citation	235692795	241033425	142	An Empirical Study of Training End-to-End Vision-and-Language Transformers
citation	235692795	241035439	151	VLMo: Unified Vision-Language Pre-Training with Mixture-of-Modality-Experts
citation	235692795	240006659	40	Transformers in computational visual media: A survey
citation	235692795	237286470	3	Lightweight Visual Question Answering using Scene Graphs
citation	235692795	240230548	10	Multi-modal Dictionary BERT for Cross-modal Video Search in Baidu Advertising
citation	235692795	240230553	9	Assorted Attention Network for Cross-Lingual Language-to-Vision Retrieval
citation	235692795	244478752	5	VLDeformer: Vision-Language Decomposed Transformer for fast cross-modal retrieval
citation	235692795	239049894	0	A Self-Explainable Stylish Image Captioning Framework via Multi-References
citation	235692795	239011592	3	MM21 Pre-training for Video Understanding Challenge: Video Captioning with Pretraining Techniques
citation	235692795	239016231	42	A Good Prompt Is Worth Millions of Parameters: Low-resource Prompt-based Learning for Vision-Language Models
citation	235692795	238744333	21	Mengzi: Towards Lightweight yet Ingenious Pre-trained Models for Chinese
citation	235692795	238743817	2	Understanding of Emotion Perception from Art
citation	235692795	238744488	4	Winning the ICCV'2021 VALUE Challenge: Task-aware Ensemble and Transfer Learning with Visual Concepts
citation	235692795	244603551	10	A survey of methods, datasets and evaluation metrics for visual question answering
citation	235692795	237635382	92	CPT: Colorful Prompt Tuning for Pre-trained Vision-Language Models
citation	235692795	237593048	15	KD-VLP: Improving End-to-End Vision-and-Language Pretraining with Object Knowledge Distillation
citation	235692795	237490295	25	xGQA: Cross-Lingual Visual Question Answering
citation	235692795	237494738	3	Constructing Phrase-level Semantic Labels to Form Multi-Grained Supervision for Image-Text Retrieval
citation	235692795	237485500	110	An Empirical Study of GPT-3 for Few-Shot Knowledge-Based VQA
citation	235692795	237385768	30	WebQA: Multihop and Multimodal QA
citation	235692795	237291550	369	SimVLM: Simple Visual Language Model Pretraining with Weak Supervision
citation	235692795	237091384	2	Cross-Modal Graph With Meta Concepts for Video Captioning
citation	235692795	236987044	72	Vision-Language Transformer and Query Generation for Referring Segmentation
citation	235692795	252782746	1	Ordered Attention for Coherent Visual Storytelling
citation	235692795	244772950	53	From Show to Tell: A Survey on Deep Learning-Based Image Captioning
citation	235692795	235829401	195	How Much Can CLIP Benefit Vision-and-Language Tasks?
citation	235692795	235669751	5	Winner Team Mia at TextVQA Challenge 2021: Vision-and-Language Representation Learning with Pre-trained Sequence-to-Sequence Model
citation	235692795	235352775	157	MERLOT: Multimodal Neural Script Knowledge Models
citation	235692795	235266220	37	Adversarial VQA: A New Benchmark for Evaluating the Robustness of VQA Models
citation	235692795	253224427	6	Concadia: Towards Image-Based Text Generation with a Purpose
citation	235692795	233004528	11	VisQA: X-raying Vision and Language Reasoning in Transformers
citation	235692795	233004347	35	Towards General Purpose Vision Systems
citation	235692795	232404731	189	Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding
citation	235692795	235351128	62	VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning
citation	235692795	230435805	805	Transformers in Vision: A Survey
citation	235692795	246659150	0	Decomposing generation networks with structure prediction for recipe generation
citation	235692795	239998781	6	CRIC: A VQA Dataset for Compositional Reasoning on Vision and Commonsense
citation	235692795	257633402	0	VinVL+L: Enriching Visual Representation with Location Context in VQA
citation	235692795	256390003	1	MAKE: Product Retrieval with Vision-Language Pre-training in Taobao Search
citation	235692795	256390238	53	Exploring AI Ethics of ChatGPT: A Diagnostic Analysis
citation	235692795	257427236	1	Replacement as a Self-supervision for Fine-grained Vision-language Pre-training
citation	235692795	257633264	0	Exploring the Relationship between Dataset Size and Image Captioning Model Performance
citation	235692795	259076514	0	MAMO: Fine-Grained Vision-Language Representations Learning with Masked Multimodal Modeling
citation	235692795	246275947	3	Do Smart Glasses Dream of Sentimental Visions? Deep Emotionship Analysis for Eyewear Devices
citation	235692795	250390970	1	UAEM-ITAM at SemEval-2022 Task 5: Vision-Language Approach to Recognize Misogynous Content in Memes
citation	235692795	256461456	2	End-to-End Unsupervised Vision-and-Language Pre-training with Referring Expression Matching
citation	235692795	251979734	2	Universal Multi-Modality Retrieval with One Unified Embedding Space
citation	235692795	252384943	0	KRIT: Knowledge-Reasoning Intelligence in vision-language Transformer
citation	235692795	247625592	1	Arabic Image Captioning using Pre-training of Deep Bidirectional Transformers
citation	235692795	246430286	14	MVP: Multi-Stage Vision-Language Pre-Training via Multi-Level Semantic Alignment
citation	235692795	246431252	13	VC-GPT: Visual Conditioned GPT for End-to-End Generative Vision-and-Language Pre-training
citation	235692795	246968187	0	Learning Cross-modal Representations with Multi-relations for Image Captioning
citation	235692795	247570160	0	VISUAL REASONING MODELS
citation	235692795	247839503	4	Do Vision-Language Pretrained Models Learn Primitive Concepts?
citation	235692795	249674762	5	Prefix Language Models are Unified Modal Learners
citation	235692795	249916870	0	GLIPv2: Unifying Localization and VL Understanding
citation	235692795	249939761	0	Gender and Racial Bias in VisualQuestion Answering Datasets
citation	235692795	250341442	1	MobiVQA: Efficient On-Device Visual Question Answering
citation	235692795	250967310	0	Multimodal Detection of Hateful Messages Using Visual-Linguistic Pre-Trained Deep Learning Models
citation	235692795	249148050	2	Learning to Embed Multi-Modal Contexts for Situated Conversational Agents
citation	235692795	251437306	1	Modality Alignment between Deep Representations for Effective Video-and-Language Learning
citation	235692795	252275875	1	Vision Encoders in Visual Question Answering
citation	235692795	252280594	2	Finetuning Pretrained Vision-Language Models with Correlation Information Bottleneck for Robust Visual Question Answering
citation	235692795	247401381	1	EAES: Effective Augmented Embedding Spaces for Text-based Image Captioning
citation	235692795	252815634	3	MAP: Modality-Agnostic Uncertainty-Aware Vision-Language Pre-training Model
citation	235692795	252818926	1	GRAVL-BERT: Graphical Visual-Linguistic Representations for Multimodal Coreference Resolution
citation	235692795	252847574	0	Demonstrating EMMA: Embodied MultiModal Agent for Language-guided Action Execution in 3D Simulated Environments
citation	235692795	254129024	1	Multimodal Context Carryover
citation	235692795	254408745	1	Structured Vision-Language Pretraining for Computational Cooking
citation	235692795	255149751	0	VieCap4H - VLSP 2021: A Transformer-Based Method for Healthcare Image Captioning in Vietnamese
citation	235692795	256461430	1	FigMemes: A Dataset for Figurative Language Identification in Politically-Opinionated Memes
citation	235692795	259141976	0	Does Structural Attention Improve Compositional Representations in Vision-Language Models?
citation	235692795	235898873	36	From Show to Tell: A Survey on Image Captioning
citation	235692795	239616421	2	VLDeformer: Learning Visual-Semantic Embeddings by Vision-Language Transformer Decomposing
citation	235692795	246941871	0	Multimodal Multihop Source Retrieval for Web Question Answering
citation	235692795	251440418	0	WebQA: A Multimodal Multihop NeurIPS Challenge
citation	235692795	244709303	9	Universal Captioner: Long-Tail Vision-and-Language Model Training through Content-Style Separation
citation	235692795	244488348	27	Crossing the Format Boundary of Text and Boxes: Towards Unified Vision-Language Modeling
citation	235692795	245119589	6	Multimodal Neural Script Knowledge Models
citation	235692795	245218734	5	Looking Outside the Box to Ground Language in 3D Scenes
citation	235692795	245329409	3	ZeroVL: A Strong Baseline for Aligning Vision-Language Representations with Limited Resources
