query	142 references	11546 citations	Language Models are Few-Shot Learners
citation	218971783	259164600	0	AutoML in the Age of Large Language Models: Current Challenges, Future Opportunities and Risks
citation	218971783	259213208	0	Few-shot Text-to-SQL Translation using Structure and Content Prompt Learning
citation	218971783	259144786	1	Ethical Aspects of ChatGPT in Software Engineering Research
citation	218971783	259144903	0	WebGLM: Towards An Efficient Web-Enhanced Question Answering System with Human Preferences
citation	218971783	259145071	0	Knowledge-Prompted Estimator: A Novel Approach to Explainable Machine Translation Assessment
citation	218971783	259165162	0	INT2.1: Towards Fine-Tunable Quantized Large Language Models with Error Correction through Low-Rank Adaptation
citation	218971783	259140272	0	Editorial: Can virtual reality be a solution for assessing and treating psychological symptoms caused by eating and weight disorders?
citation	218971783	259144954	0	SqueezeLLM: Dense-and-Sparse Quantization
citation	218971783	259144999	0	Soft Language Clustering for Multilingual Model Pre-training
citation	218971783	259145284	0	ReadProbe: A Demo of Retrieval-Enhanced Large Language Models to Support Lateral Reading
citation	218971783	259145282	2	Robustness of SAM: Segment Anything Under Corruptions and Beyond
citation	218971783	259144942	0	BoardgameQA: A Dataset for Natural Language Reasoning with Contradictory Information
citation	218971783	259145127	0	Questioning the Survey Responses of Large Language Models
citation	218971783	259145247	0	Practice with Graph-based ANN Algorithms on Sparse Data: Chi-square Two-tower model, HNSW, Sign Cauchy Projections
citation	218971783	259145356	0	TART: A plug-and-play Transformer module for task-agnostic reasoning
citation	218971783	259145381	0	Robustness and Generalization Performance of Deep Learning Models on Cyber-Physical Systems: A Comparative Study
citation	218971783	259145314	0	Adding guardrails to advanced chatbots
citation	218971783	259145391	0	Synapse: Leveraging Few-Shot Exemplars for Human-Level Computer Control
citation	218971783	259145301	0	Galactic: Scaling End-to-End Reinforcement Learning for Rearrangement at 100k Steps-Per-Second
citation	218971783	259145157	0	arXiVeri: Automatic table verification with GPT
citation	218971783	259149389	0	Sequential Scheduling of Dataflow Graphs for Memory Peak Minimization
citation	218971783	259164709	0	Adding 3D Geometry Control to Diffusion Models
citation	218971783	259164447	0	Few-shot learning for sentence pair classification and its applications in software engineering
citation	218971783	259164452	0	AVIS: Autonomous Visual Information Seeking with Large Language Models
citation	218971783	259170804	0	Robustness of Sparsely Distributed Representations to Adversarial Attacks in Deep Neural Networks
citation	218971783	259145195	0	Large Language Models Sometimes Generate Purely Negatively-Reinforced Text
citation	218971783	259137877	0	On the Viability of using LLMs for SW/HW Co-Design: An Example in Designing CiM DNN Accelerators
citation	218971783	259137375	0	TrojPrompt: A Black-box Trojan Attack on Pre-trained Language Models
citation	218971783	259138312	0	Gradient Ascent Post-training Enhances Language Model Generalization
citation	218971783	253047555	2	Generating Synthetic Datasets by Interpolating along Generalized Geodesics
citation	218971783	259025422	1	Lifelog Discovery Assistant: Suggesting Prompts and Indexing Event Sequences for FIRST at LSC 2023
citation	218971783	259112760	0	Dual-Stream Multimodal Learning for Topic-Adaptive Video Highlight Detection
citation	218971783	259112684	0	Improving Image Encoders for General-Purpose Nearest Neighbor Search and Classification
citation	218971783	259136071	0	From Answers to Insights: Unveiling the Strengths and Limitations of ChatGPT and Biomedical Knowledge Graphs
citation	218971783	259137588	0	InstructP2P: Learning to Edit 3D Point Clouds with Text Instructions
citation	218971783	259137686	0	MaskedFusion360: Reconstruct LiDAR Data by Querying Camera Features
citation	218971783	259137389	0	Prompt-based Extraction of Social Determinants of Health Using Few-shot Learning
citation	218971783	259137560	0	Waffling around for Performance: Visual Classification with Random Words and Broad Concepts
citation	218971783	259137390	0	The Devil is in the Details: On the Pitfalls of Event Extraction Evaluation
citation	218971783	259137864	0	Data-Copilot: Bridging Billions of Data and Humans with Autonomous Workflow
citation	218971783	259137705	0	On the Amplification of Linguistic Bias through Unintentional Self-reinforcement Learning by Generative Language Models - A Perspective
citation	218971783	259138613	0	Recurrent Attention Networks for Long-text Modeling
citation	218971783	259138650	1	Controlling Text-to-Image Diffusion by Orthogonal Finetuning
citation	218971783	259138783	0	Revisiting Token Pruning for Object Detection and Instance Segmentation
citation	218971783	259138942	0	Efficient Quantization-aware Training with Adaptive Coreset Selection
citation	218971783	259138572	0	Zero-shot Composed Text-Image Retrieval
citation	218971783	259139681	0	Understanding In-Situ Programming for Smart Home Automation
citation	218971783	259139812	0	Hierarchical Wi-Fi Trajectory Embedding for Indoor User Mobility Pattern Analysis
citation	218971783	259139827	2	"I wouldn’t say offensive but...": Disability-Centered Perspectives on Large Language Models
citation	218971783	259144976	0	Learning to Mask and Permute Visual Tokens for Vision Transformer Pre-Training
citation	218971783	259145214	0	Probing Quantifier Comprehension in Large Language Models
citation	218971783	259145355	0	Lost in Translation: Large Language Models in Non-English Content Analysis
citation	218971783	259156301	0	Clinical Knowledge and Reasoning Abilities of AI Large Language Models in Pharmacy: A Comparative Study on the NAPLEX Exam
citation	218971783	259137398	0	Language Versatilists vs. Specialists: An Empirical Revisiting on Multilingual Transfer Ability
citation	218971783	259137655	0	QUERT: Continual Pre-training of Language Model for Query Understanding in Travel Domain Search
citation	218971783	259137456	0	Empowering Molecule Discovery for Molecule-Caption Translation with Large Language Models: A ChatGPT Perspective
citation	218971783	259137852	0	Reducing Barriers to Self-Supervised Learning: HuBERT Pre-training with Academic Compute
citation	218971783	259138958	0	LAMM: Language-Assisted Multi-Modal Instruction-Tuning Dataset, Framework, and Benchmark
citation	218971783	259138336	0	Augmenting Greybox Fuzzing with Generative AI
citation	218971783	259138328	0	Improving Knowledge Extraction from LLMs for Robotic Task Learning through Agent Analysis
citation	218971783	259138962	1	Multi-Source Test-Time Adaptation as Dueling Bandits for Extractive Question Answering
citation	218971783	259138914	0	The Impact of ChatGPT and LLMs on Medical Imaging Stakeholders: Perspectives and Use Cases
citation	218971783	259138886	0	RestGPT: Connecting Large Language Models with Real-World Applications via RESTful APIs
citation	218971783	259138883	0	High-Fidelity Audio Compression with Improved RVQGAN
citation	218971783	259145019	0	A Comprehensive Survey on Applications of Transformers for Deep Learning Tasks
citation	218971783	258813949	0	How to harness the potential of ChatGPT in education?
citation	218971783	259137420	0	Quantifying the Benefits of Carbon-Aware Temporal and Spatial Workload Shifting in the Cloud
citation	218971783	259137830	0	Defining and Explorting the Intelligence Space
citation	218971783	259137550	0	Calculating and Visualizing Counterfactual Feature Importance Values
citation	218971783	259138629	0	ECGBERT: Understanding Hidden Language of ECGs with Self-Supervised Representation Learning
citation	218971783	259138811	0	AutoTAMP: Autoregressive Task and Motion Planning with LLMs as Translators and Checkers
citation	218971783	259137496	0	Automated Code Editing with Search-Generate-Modify
citation	218971783	259138909	0	Boosting Language Models Reasoning with Chain-of-Knowledge Prompting
citation	218971783	259144788	0	Medical Data Augmentation via ChatGPT: A Case Study on Medication Identification and Medication Event Classification
citation	218971783	259144807	0	Human-in-the-Loop through Chain-of-Thought
citation	218971783	259145101	0	Expressivity Enhancement with Efficient Quadratic Neurons for Convolutional Neural Networks
citation	218971783	259129811	0	On the Challenges and Perspectives of Foundation Models for Medical Image Analysis
citation	218971783	259138387	0	Measuring and Modifying Factual Knowledge in Large Language Models
citation	218971783	259138285	0	Aladdin: Zero-Shot Hallucination of Stylized 3D Assets from Abstract Scene Descriptions
citation	218971783	259129577	0	Exploring the Responses of Large Language Models to Beginner Programmers' Help Requests
citation	218971783	259138293	0	Reliability Check: An Analysis of GPT-3's Response to Sensitive Topics and Prompt Wording
citation	218971783	259138428	0	FLSL: Feature-level Self-supervised Learning
citation	218971783	259129342	2	Can Large Language Models Infer Causation from Correlation?
citation	218971783	259129504	0	Towards the Exploitation of LLM-based Chatbot for Providing Legal Support to Palestinian Cooperatives
citation	218971783	259129329	0	S3: Increasing GPU Utilization during Generative Inference for Higher Throughput
citation	218971783	259129382	0	NuCLR: Nuclear Co-Learned Representations
citation	218971783	259129379	0	Customizing General-Purpose Foundation Models for Medical Report Generation
citation	218971783	259129535	0	Leveraging Large Language Models for Scalable Vector Graphics-Driven Image Understanding
citation	218971783	259129474	0	Towards a Robust Detection of Language Model Generated Text: Is ChatGPT that Easy to Detect?
citation	218971783	259129613	0	Xiezhi: An Ever-Updating Benchmark for Holistic Domain Knowledge Evaluation
citation	218971783	259129651	1	How Can Recommender Systems Benefit from Large Language Models: A Survey
citation	218971783	259129847	0	WSPAlign: Word Alignment Pre-training via Large-Scale Weakly Supervised Span Prediction
citation	218971783	259129611	0	Detecting Phishing Sites Using ChatGPT
citation	218971783	259129746	1	Embodied Executable Policy Learning with Language-based Scene Summarization
citation	218971783	259129734	0	FinGPT: Open-Source Financial Large Language Models
citation	218971783	259129374	0	Evaluating the Social Impact of Generative AI Systems in Systems and Society
citation	218971783	259137400	0	Understanding the Effect of the Long Tail on Neural Network Compression
citation	218971783	259138569	0	14 Examples of How LLMs Can Transform Materials Science and Chemistry: A Reflection on a Large Language Model Hackathon
citation	218971783	259138300	0	PoET: A generative model of protein families as sequences-of-sequences
citation	218971783	259145016	0	Large Language Model Is Semi-Parametric Reinforcement Learning Agent
citation	218971783	259145354	0	GPT-Calls: Enhancing Call Segmentation and Tagging by Generating Synthetic Conversations via Large Language Models
citation	218971783	259202884	0	The Age of Synthetic Realities: Challenges and Opportunities
citation	218971783	259144804	0	The economic trade-offs of large language models: A case study
citation	218971783	259108227	0	Prefer to Classify: Improving Text Classifiers via Auxiliary Preference Learning
citation	218971783	259129468	1	Artificial General Intelligence for Medical Imaging
citation	218971783	259129602	0	PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance
citation	218971783	259108502	1	Mapping the Challenges of HCI: An Application and Evaluation of ChatGPT and GPT-4 for Cost-Efficient Question Answering
citation	218971783	259108217	0	Comprehensive evaluation of deep and graph learning on drug-drug interactions prediction
citation	218971783	259108315	0	On the Effectiveness of Out-of-Distribution Data in Self-Supervised Long-Tail Learning
citation	218971783	259108391	0	Recovering Simultaneously Structured Data via Non-Convex Iteratively Reweighted Least Squares
citation	218971783	259108396	0	Advancing Italian Biomedical Information Extraction with Large Language Models: Methodological Insights and Multicenter Practical Application
citation	218971783	259108250	0	R-MAE: Regions Meet Masked Autoencoders
citation	218971783	259108266	0	PandaLM: An Automatic Evaluation Benchmark for LLM Instruction Tuning Optimization
citation	218971783	259108327	0	Improving Vietnamese Legal Question-Answering System based on Automatic Data Enrichment
citation	218971783	259108333	1	Video-ChatGPT: Towards Detailed Video Understanding via Large Vision and Language Models
citation	218971783	259108559	0	DLAMA: A Framework for Curating Culturally Diverse Facts for Probing the Knowledge of Pretrained Language Models
citation	218971783	259108339	0	RETA-LLM: A Retrieval-Augmented Large Language Model Toolkit
citation	218971783	259108473	0	Adaptive Fake Audio Detection with Low-Rank Model Squeezing
citation	218971783	259108959	0	M3Exam: A Multilingual, Multimodal, Multilevel Benchmark for Examining Large Language Models
citation	218971783	259108565	0	In-Context Learning through the Bayesian Prism
citation	218971783	259108630	0	CUED at ProbSum 2023: Hierarchical Ensemble of Summarization Models
citation	218971783	259108831	0	Mixture-of-Domain-Adapters: Decoupling and Injecting Domain Knowledge to Pre-trained Language Models Memories
citation	218971783	259108829	0	Augmenting Hessians with Inter-Layer Dependencies for Mixed-Precision Post-Training Quantization
citation	218971783	259108729	0	COURIER: Contrastive User Intention Reconstruction for Large-Scale Pre-Train of Image Features
citation	218971783	259108926	0	Correlated Noise in Epoch-Based Stochastic Gradient Descent: Implications for Weight Variances
citation	218971783	259108867	0	Efficient Multi-Task Scene Analysis with RGB-D Transformers
citation	218971783	259108906	1	When to Show a Suggestion? Integrating Human Feedback in AI-Assisted Programming
citation	218971783	259108623	0	Can AI Moderate Online Communities?
citation	218971783	259108558	0	SequenceMatch: Imitation Learning for Autoregressive Sequence Modelling with Backtracking
citation	218971783	259108351	0	The ADAIO System at the BEA-2023 Shared Task on Generating AI Teacher Responses in Educational Dialogues
citation	218971783	259114471	0	MC-NN: An End-to-End Multi-Channel Neural Network Approach for Predicting Influenza A Virus Hosts and Antigenic Types
citation	218971783	259129820	0	AMEE: A Robust Framework for Explanation Evaluation in Time Series Classification
citation	218971783	259129447	0	Privacy- and Utility-Preserving NLP with Anonymized Data: A case study of Pseudonymization
citation	218971783	259129801	0	Bias Against 93 Stigmatized Groups in Masked Language Models and Downstream Sentiment Classification Tasks
citation	218971783	259129508	0	Differentially Private Image Classification by Learning Priors from Random Processes
citation	218971783	259129410	0	Multi-Modal Classifiers for Open-Vocabulary Object Detection
citation	218971783	259129698	0	AircraftVerse: A Large-Scale Multimodal Dataset of Aerial Vehicle Designs
citation	218971783	259096129	0	GPT Self-Supervision for a Better Data Annotator
citation	218971783	259095528	0	Evaluation of ChatGPT and Microsoft Bing AI Chat Performances on Physics Exams of Vietnamese National High School Graduation Examination
citation	218971783	259096088	0	PromptAttack: Probing Dialogue State Trackers with Adversarial Prompts
citation	218971783	259096053	1	Evaluation of ChatGPT on Biomedical Tasks: A Zero-Shot Comparison with Fine-Tuned Generative Transformers
citation	218971783	259095579	0	Youku-mPLUG: A 10 Million Large-scale Chinese Video-Language Dataset for Pre-training and Benchmarks
citation	218971783	259108338	0	Good Data, Large Data, or No Data? Comparing Three Approaches in Developing Research Aspect Classifiers for Biomedical Papers
citation	218971783	259108708	0	ScienceBenchmark: A Complex Real-World Benchmark for Evaluating Natural Language to SQL Systems
citation	218971783	259129855	0	Check Me If You Can: Detecting ChatGPT-Generated Academic Writing using CheckGPT
citation	218971783	259108199	0	INSTRUCTEVAL: Towards Holistic Evaluation of Instruction-Tuned Large Language Models
citation	218971783	259095646	0	STEPS: A Benchmark for Order Reasoning in Sequential Tasks
citation	218971783	259096157	0	Revisiting Out-of-distribution Robustness in NLP: Benchmark, Analysis, and LLMs Evaluations
citation	218971783	259095456	0	XSemPLR: Cross-Lingual Semantic Parsing in Multiple Natural Languages and Meaning Representations
citation	218971783	259095538	0	When to Read Documents or QA History: On Unified and Selective Open-domain QA
citation	218971783	259095527	0	The Two Word Test: A Semantic Benchmark for Large Language Models
citation	218971783	259095581	1	Matte Anything: Interactive Natural Image Matting with Segment Anything Models
citation	218971783	259095877	0	Enhancing In-Context Learning with Answer Feedback for Multi-Span Question Answering
citation	218971783	259095803	0	Long-form analogies generated by chatGPT lack human-like psycholinguistic properties
citation	218971783	259096008	1	Fine-Grained Visual Prompting
citation	218971783	259095575	0	Faithful Knowledge Distillation
citation	218971783	259095915	0	ChatGPT is fun, but it is not funny! Humor is still challenging Large Language Models
citation	218971783	259095896	0	M3IT: A Large-Scale Dataset towards Multi-Modal Multilingual Instruction Tuning
citation	218971783	259095927	0	Can current NLI systems handle German word order? Investigating language model performance on a new German challenge set of minimal pairs
citation	218971783	259096143	0	Cross-Genre Argument Mining: Can Language Models Automatically Fill in Missing Discourse Markers?
citation	218971783	259096176	0	Integrating Geometric Control into Text-to-Image Diffusion Models for High-Quality Detection Data Generation via Text Prompt
citation	218971783	259096117	0	Rewarded soups: towards Pareto-optimal alignment by interpolating weights fine-tuned on diverse rewards
citation	218971783	259096191	0	ModuleFormer: Learning Modular Large Language Models From Uncurated Data
citation	218971783	259108498	0	Improving Open Language Models by Learning from Organic Interactions
citation	218971783	259108375	0	A Survey on Knowledge Graphs for Healthcare: Resources, Applications, and Promises
citation	218971783	259108341	0	Using Large Language Model Annotations for Valid Downstream Statistical Inference in Social Science: Design-Based Semi-Supervised Learning
citation	218971783	259108221	0	ConceptBed: Evaluating Concept Learning Abilities of Text-to-Image Diffusion Models
citation	218971783	259108693	0	On the Joint Interaction of Models, Data, and Features
citation	218971783	259108572	0	Soft-prompt Tuning for Large Language Models to Evaluate Bias
citation	218971783	259120171	0	Relative attributes classification via transformers and rank SVM loss
citation	218971783	259088653	0	Natural Language Commanding via Program Synthesis
citation	218971783	259088679	0	Stabilizing Contrastive RL: Techniques for Offline Goal Reaching
citation	218971783	259088941	0	The Emergence of Essential Sparsity in Large Pre-trained Models: The Weights that Matter
citation	218971783	259089085	0	WHAT, WHEN, and HOW to Ground: Designing User Persona-Aware Conversational Agents for Engaging Dialogue
citation	218971783	259088753	0	Impact of Large Language Models on Generating Software Specifications
citation	218971783	259088877	0	Inference-Time Intervention: Eliciting Truthful Answers from a Language Model
citation	218971783	259089368	0	Towards Alleviating the Object Bias in Prompt Tuning-based Factual Knowledge Extraction
citation	218971783	259088736	0	GEO-Bench: Toward Foundation Models for Earth Monitoring
citation	218971783	259088958	0	Prompt Space Optimizing Few-shot Reasoning Success with Large Language Models
citation	218971783	259088929	0	Logic Diffusion for Knowledge Graph Reasoning
citation	218971783	259088691	0	Query Complexity of Active Learning for Function Family With Nearly Orthogonal Basis
citation	218971783	259089005	0	FaaSwap: SLO-Aware, GPU-Efficient Serverless Inference via Model Swapping
citation	218971783	259088600	0	Mega-TTS: Zero-Shot Text-to-Speech at Scale with Intrinsic Inductive Bias
citation	218971783	259089311	0	Prompting Large Language Models to Reformulate Queries for Moment Localization
citation	218971783	259088875	0	ChatDB: Augmenting LLMs with Databases as Their Symbolic Memory
citation	218971783	259089333	0	Recognize Anything: A Strong Image Tagging Model
citation	218971783	259088837	1	Click: Controllable Text Generation with Sequence Likelihood Contrastive Learning
citation	218971783	259089064	0	The Creative Frontier of Generative AI: Managing the Novelty-Usefulness Tradeoff
citation	218971783	259088848	0	Iterative Translation Refinement with Large Language Models
citation	218971783	259088987	0	On the Role of Attention in Prompt-tuning
citation	218971783	259088810	0	Diversifying Joint Vision-Language Tokenization Learning
citation	218971783	259089245	0	Deductive Verification of Chain-of-Thought Reasoning
citation	218971783	259095584	0	An Empirical Analysis of Parameter-Efficient Methods for Debiasing Pre-Trained Language Models
citation	218971783	259095666	0	Triggering Multi-Hop Reasoning for Question Answering in Language Models using Soft Prompts and Random Walks
citation	218971783	259095669	0	Augmenting Reddit Posts to Determine Wellness Dimensions impacting Mental Health
citation	218971783	259095869	0	Certified Reasoning with Language Models
citation	218971783	259095948	0	Turning large language models into cognitive models
citation	218971783	259096178	0	TKDP: Threefold Knowledge-enriched Deep Prompt Tuning for Few-shot Named Entity Recognition
citation	218971783	259095958	0	Revisiting Conversation Discourse for Dialogue Disentanglement
citation	218971783	259095770	0	MISGENDERED: Limits of Large Language Models in Understanding Pronouns
citation	218971783	259108425	0	Enabling Intelligent Interactions between an Agent and an LLM: A Reinforcement Learning Approach
citation	218971783	259097078	0	Machine learning modeling of RNA structures: methods, challenges and future perspectives.
citation	218971783	259075794	0	InstructZero: Efficient Instruction Optimization for Black-Box Large Language Models
citation	218971783	259089172	0	Stack Over-Flowing with Results: The Case for Domain-Specific Pre-Training Over One-Size-Fits-All Models
citation	218971783	259129716	0	Visually-Grounded Descriptions Improve Zero-Shot Image Classification
citation	218971783	259076029	0	Beyond Generating Code: Evaluating GPT on a Data Visualization Course
citation	218971783	259089045	1	Zero-Shot 3D Shape Correspondence
citation	218971783	259075336	1	CTRL: Connect Tabular and Language Model for CTR Prediction
citation	218971783	259075538	0	On "Scientific Debt" in NLP: A Case for More Rigour in Language Model Pre-Training Research
citation	218971783	256680817	2	When Decentralized Optimization Meets Federated Learning
citation	218971783	259076041	0	CELDA: Leveraging Black-box Language Model as Enhanced Classifier without Labels
citation	218971783	259065124	1	Argument and explanation
citation	218971783	259065114	2	How could we make a social robot? A virtual bargaining approach
citation	218971783	259065119	3	Symbols and grounding in large language models
citation	218971783	259075112	0	Efficient GPT Model Pre-training using Tensor Train Matrix Representation
citation	218971783	259075149	0	LmPa: Improving Decompilation by Synergy of Large Language Model and Program Analysis
citation	218971783	259075246	0	RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems
citation	218971783	259075175	0	Graph-Aware Language Model Pre-Training on a Large Graph Corpus Can Help Multiple Graph Applications
citation	218971783	259075465	0	Towards Unified Text-based Person Retrieval: A Large-scale Multi-Attribute and Language Search Benchmark
citation	218971783	259075636	0	Representational Strengths and Limitations of Transformers
citation	218971783	259075601	0	Asymmetric Patch Sampling for Contrastive Learning
citation	218971783	259075591	0	RecAgent: A Novel Simulation Paradigm for Recommender Systems
citation	218971783	259075780	0	PULSAR: Pre-training with Extracted Healthcare Terms for Summarising Patients' Problems and Data Augmentation with Black-box Large Language Models
citation	218971783	259075732	0	Benchmarking Large Language Models on CMExam - A Comprehensive Chinese Medical Exam Dataset
citation	218971783	259075489	0	Enhancing Language Representation with Constructional Information for Natural Language Understanding
citation	218971783	259075781	0	Continual Learning with Pretrained Backbones by Tuning in the Input Space
citation	218971783	259076022	0	PolyVoice: Language Models for Speech to Speech Translation
citation	218971783	259076409	0	User-friendly Image Editing with Minimal Text Input: Leveraging Captioning and Injection Techniques
citation	218971783	259076167	0	A Simple and Flexible Modeling for Mental Disorder Detection by Learning from Clinical Questionnaires
citation	218971783	259076271	0	MCTS: A Multi-Reference Chinese Text Simplification Dataset
citation	218971783	259076261	0	Leveraging Large Language Models for Topic Classification in the Domain of Public Affairs
citation	218971783	259076379	2	SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression
citation	218971783	259076231	0	Second Language Acquisition of Neural Language Models
citation	218971783	259076377	0	Learning Probabilistic Symmetrization for Architecture Agnostic Equivariance
citation	218971783	259076266	0	SelfEvolve: A Code Evolution Framework via Large Language Models
citation	218971783	259075640	0	Interactive Editing for Text Summarization
citation	218971783	259075492	0	Using Sequences of Life-events to Predict Human Lives
citation	218971783	259077070	1	GIMLET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning
citation	218971783	259089011	1	A Scalable and Adaptive System to Infer the Industry Sectors of Companies: Prompt + Model Tuning of Generative Language Models
citation	218971783	259088821	0	Towards Adapting Computer Science Courses to AI Assistants' Capabilities
citation	218971783	259089107	0	CONCORD: Clone-aware Contrastive Learning for Source Code
citation	218971783	259089224	0	Few Shot Rationale Generation using Self-Training with Dual Teachers
citation	218971783	259095925	0	Uncertainty in Natural Language Processing: Sources, Quantification, and Applications
citation	218971783	259075893	1	SAM3D: Zero-Shot 3D Object Detection via Segment Anything Model
citation	218971783	259075613	0	bgGLUE: A Bulgarian General Language Understanding Evaluation Benchmark
citation	218971783	259076757	1	Demonstration of ThalamusDB: Answering Complex SQL Queries with Natural Language Predicates on Multi-Modal Data
citation	218971783	253155210	2	A Probabilistic Framework for Pruning Transformers Via a Finite Admixture of Keys
citation	218971783	258530701	0	Instance-Aware Hierarchical Structured Policy for Prompt Learning in Vision-Language Models
citation	218971783	258533441	0	Efficient Data Loading with Quantum Autoencoder
citation	218971783	258534440	0	Prompt Makes mask Language Models Better Adversarial Attackers
citation	218971783	258536118	0	Zephyr: Zero-Shot Punctuation Restoration
citation	218971783	258535542	0	Unified Prompt Learning Makes Pre-Trained Language Models Better Few-Shot Learners
citation	218971783	258536835	0	Look and Think: Intrinsic Unification of Self-Attention and Convolution for Spatial-Channel Specificity
citation	218971783	258537309	0	Compensatory Debiasing For Gender Imbalances In Language Models
citation	218971783	258538129	0	CLMAE: A Liter and Faster Masked Autoencoders
citation	218971783	258541048	0	Distill-Quantize-Tune - Leveraging Large Teachers for Low-Footprint Efficient Multilingual NLU on Edge
citation	218971783	258541249	0	History, Present and Future: Enhancing Dialogue Generation with Few-Shot History-Future Prompt
citation	218971783	258541117	0	Meta Learning for Domain Agnostic Soft Prompt
citation	218971783	258546397	0	Large-scale Language Model Rescoring on Long-form Data
citation	218971783	258546370	0	DTTR: Detecting Text with Transformers
citation	218971783	259075223	0	Riemannian Low-Rank Model Compression for Federated Learning with Over-the-Air Aggregation
citation	218971783	259075274	0	Temporal Dynamic Quantization for Diffusion Models
citation	218971783	259075484	0	Evaluating and Improving Tool-Augmented Computation-Intensive Math Reasoning
citation	218971783	259075361	0	Data Quality in Imitation Learning
citation	218971783	259075569	0	Long Text Generation Challenge
citation	218971783	259075917	0	Fine-Tuning Language Models with Advantage-Induced Policy Alignment
citation	218971783	259075907	2	A Mathematical Abstraction for Balancing the Trade-off Between Creativity and Reality in Large Language Models
citation	218971783	259076427	0	OWQ: Lessons learned from activation outliers for weight quantization in large language models
citation	218971783	259075954	0	Proteus: Simulating the Performance of Distributed DNN Training
citation	218971783	259075978	0	Exposing Bias in Online Communities through Large-Scale Language Models
citation	218971783	259075994	0	Training Like a Medical Resident: Universal Medical Image Segmentation via Context Prior Learning
citation	218971783	259076105	0	Finding the SWEET Spot: Analysis and Improvement of Adaptive Inference in Low Resource Settings
citation	218971783	259076066	0	Large Language Model Augmented Narrative Driven Recommendations
citation	218971783	259075698	1	USD: Unknown Sensitive Detector Empowered by Decoupled Objectness and Segment Anything Model
citation	218971783	259076828	0	DataChat: An Intuitive and Collaborative Data Analytics Platform
citation	218971783	259076809	1	Demystifying Artificial Intelligence for Data Preparation
citation	218971783	259076808	0	Models and Practice of Neural Table Representations
citation	218971783	259099552	0	Short-term Hebbian learning can implement transformer-like attention
citation	218971783	259075335	0	Utilizing ChatGPT to Enhance Clinical Trial Enrollment
citation	218971783	259075270	0	Prompting Is All Your Need: Automated Android Bug Replay with Large Language Models
citation	218971783	259075362	0	A Comprehensive Survey on Deep Learning for Relation Extraction: Recent Advances and New Frontiers
citation	218971783	259075813	1	MultiLegalPile: A 689GB Multilingual Legal Corpus
citation	218971783	259075169	0	Memorization Capacity of Multi-Head Attention in Transformers
citation	218971783	259075185	0	SpeechGen: Unlocking the Generative Power of Speech Language Models with Prompts
citation	218971783	259075146	0	SGEM: Test-Time Adaptation for Automatic Speech Recognition via Sequential-Level Generalized Entropy Minimization
citation	218971783	259075522	0	Towards Coding Social Science Datasets with Language Models
citation	218971783	259076124	0	Question-Context Alignment and Answer-Context Dependencies for Effective Answer Sentence Selection
citation	218971783	259076349	0	Benchmarking Robustness of Adaptation Methods on Pre-trained Vision-Language Models
citation	218971783	259076158	0	TART: Improved Few-shot Text Classification Using Task-Adaptive Reference Transformation
citation	218971783	259076400	0	Unsupervised Human Activity Recognition through Two-stage Prompting with ChatGPT
citation	218971783	259064135	0	OMNI: Open-endedness via Models of human Notions of Interestingness
citation	218971783	259088709	0	ChatGPT is a Remarkable Tool - For Experts
citation	218971783	259063921	0	Learning from Partially Annotated Data: Example-aware Creation of Gap-filling Exercises for Language Learning
citation	218971783	259063857	0	Responsible Task Automation: Empowering Large Language Models as Responsible Task Automators
citation	218971783	259076443	0	RITA: Group Attention is All You Need for Timeseries Analytics
citation	218971783	259046114	0	DORIS: Personalized course recommendation system based on deep learning
citation	218971783	259059553	0	Reason-able embeddings: Learning concept embeddings with a transferable neural reasoner
citation	218971783	259063864	0	Why Clean Generalization and Robust Overfitting Both Happen in Adversarial Training
citation	218971783	259063802	0	Denoising Diffusion Semantic Segmentation with Mask Prior Modeling
citation	218971783	259063934	0	Harnessing large-language models to generate private synthetic text
citation	218971783	259063947	0	Prompt Tuning Large Language Models on Personalized Aspect Extraction for Recommendations
citation	218971783	259064052	0	Collect-and-Distribute Transformer for 3D Point Cloud Analysis
citation	218971783	259063795	0	Adjustable Visual Appearance for Generalizable Novel View Synthesis
citation	218971783	259063984	0	Transfer learning for atomistic simulations using GNNs and kernel mean embeddings
citation	218971783	259064155	0	Enhancing CLIP with CLIP: Exploring Pseudolabeling for Limited-Label Prompt Tuning
citation	218971783	259063887	1	Multilingual Conceptual Coverage in Text-to-Image Models
citation	218971783	259064205	0	PassGPT: Password Modeling and (Guided) Generation with Large Language Models
citation	218971783	259064177	0	Domain Knowledge Matters: Improving Prompts with Fix Templates for Repairing Python Type Errors
citation	218971783	259063822	0	ChatGPT for Zero-shot Dialogue State Tracking: A Solution or an Opportunity?
citation	218971783	259064260	0	MetaVL: Transferring In-Context Learning Ability From Language Models to Vision-Language Models
citation	218971783	259064198	0	Centered Self-Attention Layers
citation	218971783	259063834	1	Segment Anything in High Quality
citation	218971783	259064200	0	Towards Sustainable Learning: Coresets for Data-efficient Deep Learning
