	doc_id	corpus_id	title	abstract	label_type	label	class
45	17054456	19076202	Clinical features and morphological characterization of 10 patients with noninsulinoma pancreatogenous hypoglycaemia syndrome (NIPHS)	Objective  Noninsulinoma pancreatogenous hypoglycaemia syndrome (NIPHS), characterized by postprandial neuroglycopaenia, negative prolonged fasts and negative perioperative localization studies for insulinoma, but positive selective arterial calcium stimulation tests and nesidioblastosis in the gradient‐guided resected pancreas, is a rare hypoglycaemic disorder of undetermined aetiology. We analysed the clinical, morphological and immunohistological features to further clarify the aetiology and pathogenesis of this rare disease.	Labeled	clinical characteristics or disease pathology	0
46	16799054	28245381	Ames Waltzer deaf mice have reduced electroretinogram amplitudes and complex alternative splicing of Pcdh15 transcripts.	"PURPOSE
Mutations of PCDH15, the gene encoding protocadherin 15, cause either nonsyndromic deafness DFNB23 or Usher syndrome type 1F (USH1F) in humans and deafness with balance problems in Ames waltzer (av) mice. Persons with USH1 usually begin to exhibit signs of retinitis pigmentosa (RP) in early adolescence, but av mice are reported to have functional retinas. In this study, the auditory, visual and molecular biological phenotype of Pcdh15av-5J and Pcdh15av-Jfb mice is characterized, and their usefulness as animal models of USH1 is evaluated.


METHODS
Hearing thresholds of mice between 6 and 10 weeks of age were measured by auditory brain stem response (ABR). Immunohistochemistry and histology were used to examine the effect of homozygosity of Pcdh15av-5J on stereocilia bundles of inner ear hair cells and on the photoreceptor cells of the retina. Scotopic and photopic Ganzfeld ERGs were recorded from homozygous Pcdh15av-5J and Pcdh15av-Jfb mice at different ages. Heterozygous littermates served as control subjects. Measurements of the width of the outer nuclear layer (ONL) and the length of rod photoreceptor outer segment (ROS) were made.


RESULTS
Homozygous Pcdh15av-5J mice have profound hearing loss and disorganized stereocilia bundles of inner ear hair cells. Compared with heterozygous littermates, homozygous Pcdh15av-5J and Pcdh15av-Jfb mutant mice had scotopic ERG amplitudes consistently reduced by approximately 40% at all light intensities. The b-to-a-wave ratio confirmed that the a- and b-waves were reduced proportionally in homozygous mutant mice. Histologic measurements of retinal sections revealed no significant differences in either the ONL width or the ROS length as a function of genotype. The protocadherin 15 labeling pattern with antisera PB303 in the retina of both heterozygous and homozygous Pcdh15av-5J mice was indistinguishable from the wild type. Wild-type Pcdh15 have many alternatively spliced isoforms. A novel isoform was found in the retina of homozygous Pcdh15av-5J mice, which appears to circumvent the effect of the mutant allele (IVS14-2A-->G), which causes skipping of exon 14, a shift in the translation reading frame and a premature stop codon in exon 15.


CONCLUSIONS
Pcdh15(av-5J) and Pcdh15(av-Jfb) mice do not faithfully mimic the RP found in USH1 due to mutations of PCDH15, but have significantly attenuated ERG function in the absence of histologic change. The decline in ERG amplitude with a preserved b-to-a-wave ratio suggests a role for Pcdh15 in retinal function and/or generation of the ERG potentials. Understanding the molecular mechanism by which av mice circumvent degeneration of the retina might offer insights into potential therapies for USH1."	Labeled	disease mechanism	2
47	27925453	3267523	Chest computed tomography scores in patients with cystic fibrosis colonized with methicillin-resistant Staphylococcus aureus	Methicillin-resistant Staphylococcus aureus (MRSA) is an important pathogen in cystic fibrosis (CF), with increasing incidence in recent years. We examined the association between bacterial colonization in the sputum (MRSA with or without pseudomonas (PA)) and computed tomography (CT) scores in CF patients. MRSA patients were divided according to PA status based on at least three consecutive sputum cultures; controls were patients without MRSA (with or without PA), matched for gender and age at CT. Clinical data and CT scores were compared between groups. Of 33 patients with MRSA, 14 had no PA (MRSA + PA-) and 19 had also PA (MRSA + PA+). MRSA + PA- and MRSA + PA+ patients had CT scores similar to their controls PA+ (38.25 ± 20.18 vs. 32.22 ± 18.74, P = .4, and 41.88 ± 18.18 vs. 45.33 ± 11.5, P = .4, respectively). Although MRSA + PA- had worse CT scores than their matched PA- controls, their mean FEV1 values were similar. Colonization with MRSA in CF is associated with structural CT changes at least similar to those in PA. A cause and effect relationship cannot be established. The current findings call for a larger study assessing longitudinally the impact of MRSA acquisition and eradication protocols.	Gold Standard	clinical characteristics or disease pathology	0
48	22940633	45184597	Attenuated TLR4/MAPK signaling in monocytes from patients with CRMO results in impaired IL-10 expression	Chronic recurrent multifocal osteomyelitis (CRMO) is an autoinflammatory bone disorder of unknown origin. We previously demonstrated that monocytes from CRMO patients fail to express the immune-modulatory cytokine interleukin-10 (IL-10) in a chromatin dependent manner. Here, we demonstrate that attenuated extracellular-signal regulated kinase (ERK)1 and 2 signaling in response to TLR4 activation results in failure to induce IL-10 expression in monocytes from CRMO patients. Attenuated ERK1/2 activation results in 1) reduced levels of Sp-1, a transcription factor that induces IL-10 expression in monocytes, and 2) impaired H3S10 phosphorylation of the IL10 promoter, an activating epigenetic mark. The pro-inflammatory cytokines tumor necrosis factor (TNF)α and IL-6 are not negatively affected, resulting in an imbalance towards pro-inflammatory cytokines. Thus, impaired ERK1/2 signaling with subsequently reduced Sp-1 expression and H3S10 phosphorylation of the IL10 promoter may centrally contribute to the pathophysiology of CRMO.	Labeled	disease mechanism	2
49	26099433	35070436	TDP-35 sequesters TDP-43 into cytoplasmic inclusions through binding with RNA	TDP-43 (TAR DNA binding protein of 43 kDa) and its C-terminal fragments are thought to be linked to the pathologies of amyotrophic lateral sclerosis and frontotemporal lobar degeneration. Here, we demonstrate that the aggregates or inclusions formed by its 35-kDa fragment (namely TDP-35) sequester full-length TDP-43 into cytoplasmic inclusions; and this sequestration is mediated by binding with RNA that is enriched in the cytoplasmic inclusions. RNA recognition motif 1 (RRM1) of TDP-43/TDP-35 plays a dominant role in nucleic-acid binding; mutation in this moiety abrogates formation of the TDP-35 inclusions and its RNA-assisted association with TDP-43. Thus, TDP-35 is able to sequester TDP-43 from nuclear localization into cytoplasmic inclusions, and RNA binding plays an essential role in this process.	Labeled	disease mechanism	2
50	31545650	202746941	SPEF2-  and HYDIN -Mutant Cilia Lack the Central Pair-associated Protein SPEF2, Aiding Primary Ciliary Dyskinesia Diagnostics	Primary ciliary dyskinesia (PCD) is a genetically heterogeneous chronic destructive airway disease. PCD is traditionally diagnosed by nasal nitric oxide measurement, analysis of ciliary beating, transmission electron microscopy (TEM), and/or genetic testing. In most genetic PCD variants, laterality defects can occur. However, it is difficult to establish a diagnosis in individuals with PCD and central pair (CP) defects, and alternative strategies are required because of very subtle ciliary beating abnormalities, a normal ciliary ultrastructure, and normal situs composition. Mutations in HYDIN are known to cause CP defects, but the genetic analysis of HYDIN variants is confounded by the pseudogene HYDIN2, which is almost identical in terms of intron/exon structure. We have previously shown that several types of PCD can be diagnosed via immunofluorescence (IF) microscopy analyses. Here, using IF microscopy, we demonstrated that in individuals with PCD and CP defects, the CP-associated protein SPEF2 is absent in HYDIN-mutant cells, revealing its dependence on functional HYDIN. Next, we performed IF analyses of SPEF2 in respiratory cells from 189 individuals with suspected PCD and situs solitus. Forty-one of the 189 individuals had undetectable SPEF2 and were subjected to a genetic analysis, which revealed one novel loss-of-function mutation in SPEF2 and three reported and 13 novel HYDIN mutations in 15 individuals. The remaining 25 individuals are good candidates for new, as-yet uncharacterized PCD variants that affect the CP apparatus. SPEF2 mutations have been associated with male infertility but have not previously been identified to cause PCD. We identified a mutation of SPEF2 that is causative for PCD with a CP defect. We conclude that SPEF2 IF analyses can facilitate the detection of CP defects and evaluation of the pathogenicity of HYDIN variants, thus aiding the molecular diagnosis of CP defects.	Gold Standard	clinical characteristics or disease pathology	0
51	31298338	195894473	Combined mTOR/MEK inhibition prevents proliferation and induces apoptosis in NF2-mutant tumors	Merlin is encoded by Neurofibromatosis type 2 gene (NF-2), a tumor suppressor gene, which causes some multiple tumors forming disease of the nervous system in case of function loss. Bioinformatics analysis suggested that patients with NF-2 mutation had a worse prognosis, while it was associated with PI3K/mTOR activation, implying abnormal apoptosis in NF-2 mutation related tumors. Hence, we supposed that the inhibitors of PI3K/mTOR pathway might play a role in suppressing the tumor proliferation. Two representative NF-2 mutation tumor model of NCI-H2452 and HEI193 cell lines were adopted, while two PI3K/mTOR pathway inhibitors Trametinib and Vistusertib were chosen to study the proliferation and apoptosis of the tumor cells. CCK8 cell counting experiment showed that both Trametinib and Vistusertib could inhibit the proliferation of NCI-H2452 cell in vitro, while the combination of Trametinib and Vistusertib was more significant. Flow cytometry results showed that both Trametinib and Vistusertib could enhance apoptosis of NCI-H2452 cell in vitro, while the combination of Trametinib and Vistusertib was more significant. Similar results were also achieved for HEI193 cell lines. In vivo tumorigenicity experiments demonstrated that the tumor volume and weight were significantly decreased by both Trametinib and Vistusertib, while their combination had the most significant effect. Western blot results demonstrated that both Trametinib and Vistusertib could inhibit PI3K/mTOR /MEK pathway and enhance the expression of merlin. We found that PI3K/mTOR inhibitor could decrease the proliferation of NF-2 mutation tumor cell lines by enhancing apoptosis, while the combination of two drugs might have a better effect.	Labeled	disease mechanism	2
52	17171155	35885932	Atypical invasion of the temporal bone in vestibular schwannoma	Vestibular schwannomas typically present with erosion of the temporal bone that is limited to the boundaries of the internal auditory canal. Four patients with extensive erosion, excavations, and pseudosatellite defects in the petrous apex are presented. These bony changes extended anteriorly up to the level of the carotid canal. The patients did not have stigmata of neurofibromatosis type 2 and they did not have systemic bony disorders. The tumors did not show any unusual histopathologic changes. Such invasive tumors present an unusual surgical challenge compared to vestibular schwannomas with a more typical pattern of bony erosion. Radiological features and surgical considerations relevant to vestibular schwannomas with this rare presentation are discussed.	Labeled	clinical characteristics or disease pathology	0
53	25082229	25583886	Common and distinctive pathogenetic features of arteriovenous malformations in hereditary hemorrhagic telangiectasia 1 and hereditary hemorrhagic telangiectasia 2 animal models--brief report	Hereditary hemorrhagic telangiectasia is a genetic disorder characterized by visceral and mucocutaneous arteriovenous malformations (AVMs). Clinically indistinguishable hereditary hemorrhagic telangiectasia 1 and hereditary hemorrhagic telangiectasia 2 are caused by mutations in ENG and ALK1, respectively. In this study, we have compared the development of visceral and mucocutaneous AVMs in adult stages between Eng- and Alk1-inducible knockout (iKO) models. Eng or Alk1 were deleted from either vascular endothelial cells (ECs) or smooth muscle cells in adult stages using Scl-CreER and Myh11-CreER lines, respectively. Latex perfusion and intravital spectral imaging in a dorsal skinfold window chamber system were used to visualize remodeling vasculature during AVM formation. Global Eng deletion resulted in lethality with visceral AVMs and wound-induced skin AVMs. Deletion of Alk1 or Eng in ECs, but not in smooth muscle cells, resulted in wound-induced skin AVMs. Visceral AVMs were observed in EC-specific Alk1-iKO but not in Eng-iKO. Intravital spectral imaging revealed that Eng-iKO model exhibited more dynamic processes for AVM development when compared with Alk1-iKO model. Both Alk1- and Eng-deficient models require a secondary insult, such as wounding, and ECs are the primary cell type responsible for the pathogenesis. However, Alk1 but not Eng deletion in ECs results in visceral AVMs.	Gold Standard	disease mechanism	2
54	12192307	28623884	Successful thyroidectomy in a patient with Hermansky-Pudlak syndrome treated with recombinant activated factor VII and platelet concentrates	Hermansky-Pudlak syndrome is a rare autosomal recessive disorder characterized by the absence of platelet dense bodies in association with albinism. We present the use of recombinant activated factor VII (rFVIIa) in a patient with Hermansky-Pudlak syndrome who underwent total thyroidectomy because of a large richly vascularized nodule (10 cm) compressing the trachea. The patient had a prolonged bleeding time (> 20 min) that remained unchanged after platelet transfusions. However, after infusion of platelets plus rFVIIa, it diminished to 5 min. The platelet aggregation response to adenosine diphosphate and collagen was diminished. Since an early age, the patient had repeated nose bleeding and an episode of melena requiring several tampons, cauterization and transfusions of packed red cells. In this case, we used rFVIIa in bolus for 1 day (four doses of 120 microg/kg every 2 h and six doses of 100 microg/kg every 3 h) and transfusion of platelet concentrates beginning just prior to surgery. No evidence of local bleeding complication could be detected during the entire post-operative period. The hemoglobin level remained normal and no transfusions of packed red cells were necessary. No adverse events occurred.	Labeled	therapeutics in the clinic	3
55	19160429	10713391	Antiestrogen therapy for hereditary hemorrhagic telangiectasia: a double-blind placebo-controlled clinical trial	Hereditary hemorrhagic telangiectasia (HHT) is associated with recurrent epistaxis in 90% of cases. Good response to hormone treatment has been documented, although its use remains controversial. The aim of this study was to examine the efficacy of an antiestrogenic agent, Tamoxifen, in the treatment of HHT-associated epistaxis. Twenty-five patients (11 men, 14 women; mean age 51 years) with a diagnosis of epistaxis due to HHT were randomly assigned to receive treatment with oral tamoxifen 20 mg/d or placebo for 6 months. Follow-up consisted of physical examination and once-monthly blood tests. The groups were similar in age and sex distribution. Of the 21 participants who completed the trial, alleviation of the epistaxis was noted in 9 of 10 tamoxifen-treated patients and 3 of 11 placebo-treated patients (including 2 with only temporary improvement). The difference between the groups at the trial end point was significant for both frequency (P = .01) and severity (P = .049) of the disease. Hemoglobin concentration rose in 4 tamoxifen-treated patients and decreased in 5 controls. Tamoxifen appears to be an effective agent for the treatment of epistaxis due to HHT.	Labeled	patient-based therapeutics	4
56	29370815	26494628	Breast implant-associated anaplastic large cell lymphoma in a Li-FRAUMENI patient: a case report	Breast implant-associated anaplastic large cell lymphoma (BIA-ALCL) is a rare malignancy, recently recognized as a provisional entity by the World Health Organization. Although increasing data have been published on this entity in recent years, a great number of patients and health professionals remain unaware of this diagnosis. We herein report the case of a 56-year-old female with Li-FRAUMENI syndrome who presented with late right-sided recurrent breast swelling after prophylactic adenomastectomy with implant reconstruction. Imaging scans revealed an heterogeneous mass adjacent to the implant fibrous capsule. A biopsy of the lesion rendered the diagnosis of a BIA-ALCL. This case presents similarities with previous reports, but also some particularities, which should be stressed in order to make the diagnosis the earliest possible. The most distinct feature is that this is the second report of BIA-ALCL arising in the setting of Li-FRAUMENI syndrome.	Labeled	clinical characteristics or disease pathology	0
57	33361639	226984569	Reevaluating the pathogenicity of the variations c	439 G>A and c.2132 C>T in the PLA2G6 gene.. The phospholipase A2 group VI (PLA2G6) gene encodes for a Ca2+-independent PLA2, which is localized in the cytosol, in the endoplasmic reticulum and in the mitochondrial membrane, plays a major role in phospholipid remodelling. Mutations within this gene have been reported to cause different phenotypes: infantile-onset neuroaxonal dystrophy associated with brain iron accumulation and adult-onset parkinsonian syndrome. In the present study, we analysed the PLA2G6 gene sequence in an asymptomatic young woman that was referred to our laboratory by a geneticist for an history of infantile neuroaxonal dystrophy in her little maternal cousin in whom the results of the genetical analysis were not available. We found two variants in the PLA2G6 gene (NM_003560.4, c.439 G>A and c.2132 C>T, p.Ala147Thr and p.Pro711Leu) previously reported as pathogenic. These results prompted us to perform a segregation analysis in the parents of this woman and we only found the presence of both variants in the asymptomatic 56-year-old patient's mother. Our molecular genetic testing clearly indicates that the c.439 G>A and c.2132 C>T variations identified in the PLA2G6 gene are positioned in cis and are not responsible for infantile neuroaxonal dystrophy which is an autosomal recessive disease.	Labeled	disease mechanism	2
58	14583457	6042252	Li-Fraumeni and related syndromes: correlation between tumor type, family structure, and TP53 genotype	A database has been created to collect information on families carrying a germ-line mutation in the TP53 gene and on families affected with Li-Fraumeni syndromes [Li-Fraumeni syndrome (LFS) and Li-Fraumeni-like syndrome (LFL)]. Data from the published literature have been included. The database is available online at http://www.iarc.fr/p53, as part of the IARC TP53 Database. The analysis of the 265 families/individuals that have been included thus far has revealed several new findings. In classical LFS families with a germ-line TP53 mutation (83 families), the mean age of onset of breast cancer was significantly lower than in LFS families (16 families) without a TP53 mutation (34.6 versus 42.5 years; P = 0.0035). In individuals with a TP53 mutation, a correlation between the genotype and phenotype was found. Brain tumors were associated with missense TP53 mutations located in the DNA-binding loop that contact the minor groove of DNA (P = 0.01), whereas adrenal gland carcinomas were associated with missense mutations located in the loops opposing the protein-DNA contact surface (P = 0.003). Finally, mutations likely to result in a null phenotype (absence of the protein or loss of function) were associated with earlier onset brain tumors (P = 0.004). These observations have clinical implications for genetic testing and tumor surveillance in LFS/LFL families.	Labeled	disease mechanism	2
59	1569604	25480537	Detection of novel germ-line p53 mutations in diverse-cancer-prone families identified by selecting patients with childhood adrenocortical carcinoma	Germ-line p53 mutations appear to be inherited among the members of families diagnosed with Li-Fraumeni syndrome (LFS). The mutations detected in those families to date have been clustered in exon 7 of the p53 gene and, typically, have been single-base substitutions resulting in amino acid changes. Our aim was to define the spectrum of p53 mutations associated with LFS. From seven cancer-prone families identified by selecting members with childhood adrenocortical carcinoma as probands, we chose two families, each of which had two members from whom specimens could be obtained for genetic analysis. To detect germ-line p53 gene mutations in these individuals, we performed polymerase chain reaction (PCR)-single-strand conformation polymorphism analysis with Taq polymerase and oligonucleotide primers specific for p53 gene sequences. Genomic DNA extracted from fresh tissue samples and paraffin-embedded tumor samples was amplified, denatured, and electrophoresed on neutral polyacrylamide gels. PCR amplification was also carried out using total RNA from adrenocortical carcinoma samples of the proband in family 1. PCR products were purified, subcloned, and sequenced. We detected novel germ-line p53 mutations in affected members of both cancer-prone families. In the proband of family 1, a single-base deletion was detected at the first nucleotide of codon 307 in exon 8 of the p53 gene, resulting in a premature stop codon in exon 10. In family 2, we detected an A to C transversion at the second nucleotide of codon 286 in exon 8, both in DNA isolated from the adrenocortical tumor of the proband and in DNA isolated from the astrocytoma of the proband's father. This single-base substitution resulted in an amino acid substitution of alanine for glutamic acid. Both of these mutations are located outside the highly conserved region of the p53 gene where mutations in patients with LFS have been reported previously. Our results indicate that a wide range of germ-line p53 mutations is inherited in members of diverse-cancer-prone families.	Labeled	disease mechanism	2
60	20570012	1754866	Epithelioid hemangioendothelioma: an uncommon liver tumor	We report the case of a female patient who was referred to our unit because of a solid liver tumor, suggestive of metastasis. After biopsy, the patient was diagnosed with epithelioid hemangioendothelioma of the liver. Epithelioid hemangioendothelioma is a rare entity with an unpredictable, potentially fatal, clinical course and outcome. Due to its rarity, this entity should be considered when a solitary hepatic lesion is detected and should be included in the differential diagnosis with liver metastases. We highlight the infrequency of this tumor, its presentation as a solitary hepatic lesion and the indication of surgical treatment. We describe the clinical and pathological characteristics of epithelioid hemangioendothelioma of the liver and report a new case of this entity. The distinct therapeutic options are discussed.	Labeled	clinical characteristics or disease pathology	0
61	9403701	20887754	Expression of a virus-derived cytokine, KSHV vIL-6, in HIV-seronegative Castleman's disease	Castleman's disease is a rare B cell lymphoproliferative disorder related to excess interleukin-6 (IL-6)-like activity. Kaposi's sarcoma-associated herpesvirus (KSHV or HHV8), which encodes a functional cytokine (vIL-6), has been found in some patients with Castleman's disease. Lymph nodes from 14 HIV-seronegative Castleman's disease patients were compared to hyperplastic lymph nodes from 25 HIV-seronegative patients as well as Kaposi's sarcoma lesions from 48 patients for KSHV infection and vIL-6, human IL-6, and Epstein-Barr virus EBER expression. While all Kaposi's sarcoma tissues examined were polymerase chain reaction-positive and all control lymph nodes were polymerase chain reaction-negative for KSHV, none had detectable vIL-6 expression. Six of 14 (43%) Castleman's tissues were positive for KSHV by polymerase chain reaction and all 6 had evidence of vIL-6 expression by immunohistochemistry. vIL-6-positive Castleman's disease patients generally had the multicentric plasma cell variant form of the disease and had a rapidly fatal clinical course frequently associated with autoimmune hemolytic anemia and gammopathy. In contrast, 7 (88%) of the 8 vIL-6-negative Castleman's disease patients had localized disease and have remained disease-free after therapy. KSHV vIL-6 expression appears to be limited to hematopoietic cells and is not present in Kaposi's sarcoma spindle cells. These data suggest that Castleman's disease is a syndrome of multiple etiologies involving aberrant IL-6 activity from either endogenous or viral sources.	Labeled	disease mechanism	2
62	24884537	16975667	Corticosteroid therapy in regressive autism: Preliminary findings from a retrospective study	Some children with autism spectrum disorders (ASD; 15% to 30% of patients) show a significant and persistent regression in speech and social function during early childhood. There are no established treatments for the regressive symptoms. However, there are some known causes of this type of regression, such as Rett syndrome and Landau-Kleffner syndrome (LKS). In LKS, steroids have been used as a treatment. Some evidence suggests an autoimmune contribution to the pathophysiology of autism (Chez MG, Guido-Estrada N: Immune therapy in autism: historical experience and future directions with immunomodulatory therapy. Neurotherapeutics 2010, 7:293-301, Wasilewska J, Kaczmarski M, Stasiak-Barmuta A, Tobolczyk J, Kowalewska E: Low serum IgA and increased expression of CD23 on B lymphocytes in peripheral blood in children with regressive autism aged 3-6 years old. Arch Med Sci 2012, 8:324-331, Stefanatos G: Changing perspectives on Landau-Kleffner syndrome. Clin Neuropsychol 2011, 25:963-988), raising the possibility that steroids might be a useful therapy for regression in ASD. A retrospective study published in BMC Neurology by Duffy et al. (Duffy, et al: Corticosteroid therapy in regressive autism: A retrospective study of effects on the Frequency Modulated Auditory Evoked Response (FMAER), language, and behavior. BMC Neurol 2014, 14:70) reviewed 20 steroid treated R-ASD (STAR) patients and 24 ASD control patients not treated with steroids (NSA). Improvements in clinical function and in a neurophysiological biomarker were seen in the steroid-treated children pre- to post-prednisolone treatment. This research provides a rationale for a randomized trial with steroid therapy to determine the longer term benefits and complications of steroids in this population.	Labeled	patient-based therapeutics	4
63	11068320	29487835	Unicentric Castleman's disease associated with hydronephrosis	We describe a patient with an unusual case of unicentric Castleman's disease, which bore a malignant appearance and was located in the pararenal space. She initially presented with hydronephrosis. Two years after surgical removal of the tumor, no recurrence was evident. To our knowledge, only 2 additional cases of this uncommon disease entity associated with hydronephrosis have been reported. Furthermore, our patient was the first to receive conservative surgery. On the basis of our experience, owing to the benign clinical course of this tumor and its excellent response to limited resection, radical surgery may be avoided.	Labeled	clinical characteristics or disease pathology	0
64	7847376	24890253	Homozygosity mapping, to chromosome 11p, of the gene for familial persistent hyperinsulinemic hypoglycemia of infancy	Familial persistent hyperinsulinemic hypoglycemia of infancy (PHHI) is a rare, autosomal recessive disease of unregulated insulin secretion, defined by elevations in serum insulin despite severe hypoglycemia. We used the homozygosity gene-mapping strategy to localize this disorder to the region of chromosome 11p between markers D11S1334 and D11S899 (maximum LOD score 5.02 [theta = 0] at marker D11S926) in five consanguineous families of Saudi Arabian origin. These results extend those of a recent report that also placed PHHI on chromosome 11p, between markers D11S926 and D11S928. Comparison of the boundaries of these two overlapping regions allows the PHHI locus to be assigned to the 4-cM region between the markers D11S926 and D11S899. Identification of this gene may allow a better understanding of other disorders of glucose homeostasis, by providing insight into the regulation of insulin release.	Labeled	disease mechanism	2
65	19924426	25193801	Automated software for analysis of ciliary beat frequency and metachronal wave orientation in primary ciliary dyskinesia	Patients with primary ciliary dyskinesia (PCD) have structural and/or functional alterations of cilia that imply deficits in mucociliary clearance and different respiratory pathologies. A useful indicator for the difficult diagnosis is the ciliary beat frequency (CBF) that is significantly lower in pathological cases than in physiological ones. The CBF computation is not rapid, therefore, the aim of this study is to propose an automated method to evaluate it directly from videos of ciliated cells. The cells are taken from inferior nasal turbinates and videos of ciliary movements are registered and eventually processed by the developed software. The software consists in the extraction of features from videos (written with C++ language) and the computation of the frequency (written with Matlab language). This system was tested both on the samples of nasal cavity and software models, and the results were really promising because in a few seconds, it can compute a reliable frequency if compared with that measured with visual methods. It is to be noticed that the reliability of the computation increases with the quality of acquisition system and especially with the sampling frequency. It is concluded that the developed software could be a useful mean for PCD diagnosis.	Gold Standard	other	1
66	23522378	10977829	Prevalence of pulmonary arteriovenous malformations in children versus adults with hereditary hemorrhagic telangiectasia	It is unclear whether pulmonary arteriovenous malformations (PAVMs) in hereditary hemorrhagic telangiectasia develop later in life or are preformed in childhood. We show that the prevalence of PAVMs in children is similar to that in their parents, providing evidence against de novo PAVM formation in hereditary hemorrhagic telangiectasia.	Labeled	clinical characteristics or disease pathology	0
67	10751092	8283921	Diagnostic criteria for hereditary hemorrhagic telangiectasia (Rendu-Osler-Weber syndrome)	Hereditary Hemorrhagic Telangiectasia (HHT) is easily recognized in individuals displaying the classical triad of epistaxis, telangiectasia, and a suitable family history, but the disease is more difficult to diagnosis in many patients. Serious consequences may result if visceral arteriovenous malformations, particularly in the pulmonary circulation, are unrecognized and left untreated. In spite of the identification of two of the disease-causing genes (endoglin and ALK-1), only a clinical diagnosis of HHT can be provided for the majority of individuals. On behalf of the Scientific Advisory Board of the HHT Foundation International, Inc., we present consensus clinical diagnostic criteria. The four criteria (epistaxes, telangiectasia, visceral lesions and an appropriate family history) are carefully delineated. The HHT diagnosis is definite if three criteria are present. A diagnosis of HHT cannot be established in patients with only two criteria, but should be recorded as possible or suspected to maintain a high index of clinical suspicion. If fewer than two criteria are present, HHT is unlikely, although children of affected individuals should be considered at risk in view of age-related penetration in this disorder. These criteria may be refined as molecular diagnostic tests become available in the next few years.	Labeled	clinical characteristics or disease pathology	0
68	29743243	13669204	CFTR/ENaC-dependent regulation of membrane potential during human sperm capacitation is initiated by bicarbonate uptake through NBC	To fertilize an egg, sperm must reside in the female reproductive tract to undergo several maturational changes that are collectively referred to as capacitation. From a molecular point of view, the HCO3--dependent activation of the atypical soluble adenylyl cyclase (ADCY10) is one of the first events that occurs during capacitation and leads to the subsequent cAMP-dependent activation of protein kinase A (PKA). Capacitation is also accompanied by hyperpolarization of the sperm plasma membrane. We previously reported that PKA activation is necessary for CFTR (cystic fibrosis transmembrane conductance regulator channel) activity and for the modulation of membrane potential (Em). However, the main HCO3- transporters involved in the initial transport and the PKA-dependent Em changes are not well known nor characterized. Here, we analyzed how the activity of CFTR regulates Em during capacitation and examined its relationship with an electrogenic Na+/HCO3- cotransporter (NBC) and epithelial Na+ channels (ENaCs). We observed that inhibition of both CFTR and NBC decreased HCO3- influx, resulting in lower PKA activity, and that events downstream of the cAMP activation of PKA are essential for the regulation of Em. Addition of a permeable cAMP analog partially rescued the inhibitory effects caused by these inhibitors. HCO3- also produced a rapid membrane hyperpolarization mediated by ENaC channels, which contribute to the regulation of Em during capacitation. Altogether, we demonstrate for the first time, that NBC cotransporters and ENaC channels are essential in the CFTR-dependent activation of the cAMP/PKA signaling pathway and Em regulation during human sperm capacitation.	Gold Standard	disease mechanism	2
69	14648717	42282644	CHEK2 1100delC is not a risk factor for male breast cancer population	Genetic risk factors for male breast cancer (MBC) are poorly understood. High penetrance genes such as BRCA1 or BRCA2 account for only a small proportion of the disease. A 1100delC mutation in CHEK2 (previously known as CHK2), a cell-cycle checkpoint kinase, has been implicated in predisposition of Li-Fraumeni syndrome (LFS) and breast cancer in families suggestive of LFS. This 1100delC mutation has also been shown to confer a 2-fold increase of breast cancer risk in women and a 10-fold increase of risk in men. It was estimated to account for 1% of breast cancers in women and as much as 9% of breast cancers in men at the population level based on analysis of breast cancer families without BRCA1 or BRCA2 mutations. We wanted to evaluate the significance of CHEK2 1100delC in predisposition to MBC by assessing its frequency in a population-based material of 114 Finnish MBC patients. Two patients (1.8%) carried the 1100delC mutation. The mutation frequency among MBC cases was similar to that seen in population controls (26/1885, 1.4%). Our results indicate that CHEK2 1100delC variant does not substantially increase the risk of male breast cancer at the population level. We cannot exclude the fact that a small fraction of hereditary, family-positive male breast cancers could be attributable to CHEK2 mutations.	Labeled	disease mechanism	2
70	19205515	6660090	Analysis of molecular background of hereditary haemorrhagic telangiectasia--Rendu-Osler-Weber disease--preliminary results	Hereditary haemorrhagic telangiectasia (HHT) known also as Rendu-Osler-Weber syndrome is an autosomal dominant disorder characterized by localized angiodysplasia due to mutations in ENG (endoglin, 9q34.1) or ALK-1 gene (the activin receptor-like kinase 1, 12q13). ENG and ALK-1 are found associated with two disease subtypes designated as HHT1 and HHT2, respectively. Subtype HHT1 remains in the frame of interest of laryngology because of frequent bleeding in head and neck region. The study was designed to identify a genetic background in a large family (29 individuals) with diagnosed HHT. Pedigree analysis showed autosomal dominant pattern of inheritance. Study design comprised segregation analysis to determine locus with subsequent direct sequencing of the gene. Four microsatelite markers (d9s61, d9s65, d12s368, d12s347) with high frequency of heterozygosity in population study were used. The results concerning heterozygosity ranged from 15% to 53%. The established differences were not sufficient enough to indicate co-segregation of the studied loci. DNA sequence analysis in exon 11 of ENG gene did not reveal mutations. The latter result could be explained by an occurrence of mutations in other exons of ENG. The study requires continuation for gene identification and precise genotype-phenotype correlation aiming for an improvement of HHT1 therapy.	Labeled	clinical characteristics or disease pathology	0
