query	57 references	534 citations	BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation
citation	246411402	257756968	2	CompoNeRF: Text-guided Multi-object Compositional NeRF with Editable 3D Scene Layout
citation	246411402	257757267	1	Accelerating Vision-Language Pretraining with Free Language Modeling
citation	246411402	257687801	3	CoBIT: A Contrastive Bi-directional Image-Text Generation Model
citation	246411402	257687614	0	Open-Vocabulary Object Detection using Pseudo Caption Labels
citation	246411402	257663916	13	Pix2Video: Video Editing using Image Diffusion
citation	246411402	257636930	5	Large AI Models in Health Informatics: Applications, Challenges, and the Future
citation	246411402	257636726	1	CompoDiff: Versatile Composed Image Retrieval With Latent Diffusion
citation	246411402	257636716	0	VideoXum: Cross-modal Visual and Textural Summarization of Videos
citation	246411402	257637187	0	Contrastive Alignment of Vision to Language Through Parameter-Efficient Transfer Learning
citation	246411402	257663410	1	Positive-Augmented Constrastive Learning for Image and Video Captioning Evaluation
citation	246411402	257632366	5	CLIP goes 3D: Leveraging Prompt Tuning for Language Grounded 3D Recognition
citation	246411402	257636849	12	Stable Bias: Analyzing Societal Representations in Diffusion Models
citation	246411402	257636922	1	eP-ALM: Efficient Perceptual Augmentation of Language Models
citation	246411402	257631557	2	DeAR: Debiasing Vision-Language Models with Additive Residuals
citation	246411402	257631847	3	Dynamic Graph Enhanced Contrastive Learning for Chest X-ray Report Generation
citation	246411402	257632031	0	Fine-Grained Regional Prompt Tuning for Visual Abductive Reasoning
citation	246411402	257622679	3	DiffusionRet: Generative Text-Video Retrieval with Diffusion Model
citation	246411402	257622952	0	Enhancing the Role of Context in Region-Word Alignment for Object Detection
citation	246411402	257623076	1	GlueGen: Plug and Play Multi-modal Encoders for X-to-image Generation
citation	246411402	257622977	0	CHAMPAGNE: Learning Real-world Conversation from Large-Scale Web Videos
citation	246411402	257557363	3	Data Roaming and Early Fusion for Composed Image Retrieval
citation	246411402	257557207	2	Patch-Token Aligned Bayesian Prompt Learning for Vision-Language Models
citation	246411402	257557738	23	FateZero: Fusing Attentions for Zero-shot Text-based Video Editing
citation	246411402	257622925	3	HIVE: Harnessing Human Feedback for Instructional Visual Editing
citation	246411402	257557275	0	MAtch, eXpand and Improve: Unsupervised Finetuning for Zero-Shot Action Recognition with Language Knowledge
citation	246411402	257532552	1	Lana: A Language-Capable Navigator for Instruction Following and Generation
citation	246411402	257496100	3	Scaling Vision-Language Models with Sparse Mixture of Experts
citation	246411402	257496749	5	Breaking Common Sense: WHOOPS! A Vision-and-Language Benchmark of Synthetic and Compositional Images
citation	246411402	257505475	2	Architext: Language-Driven Generative Architecture Design
citation	246411402	257496481	0	Preventing Zero-Shot Transfer Degradation in Continual Learning of Vision-Language Models
citation	246411402	257496235	12	One Transformer Fits All Distributions in Multi-Modal Diffusion at Scale
citation	246411402	257496234	10	ChatGPT Asks, BLIP-2 Answers: Automatic Questioning Towards Enriched Visual Descriptions
citation	246411402	257496927	1	PARASOL: Parametric Style Control for Diffusion Image Synthesis
citation	246411402	257482355	5	Tag2Text: Guiding Vision-Language Model via Image Tagging
citation	246411402	257427097	0	Toward Unsupervised Realistic Visual Question Answering
citation	246411402	258557855	0	Refined Vision-Language Modeling for Fine-grained Multi-modal Pre-training
citation	246411402	257404891	105	Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models
citation	246411402	257405208	0	Interpretable Visual Question Answering Referring to Outside Knowledge
citation	246411402	257405274	0	Exploiting the Textual Potential from Vision-Language Pre-training for Text-based Person Search
citation	246411402	257405338	18	Open-Vocabulary Panoptic Segmentation with Text-to-Image Diffusion Models
citation	246411402	257378508	0	Lformer: Text-to-Image Generation with L-shape Block Parallel Decoding
citation	246411402	257405349	29	A Comprehensive Survey of AI-Generated Content (AIGC): A History of Generative AI from GAN to ChatGPT
citation	246411402	257378363	5	Can an Embodied Agent Find Your "Cat-shaped Mug"? LLM-Based Zero-Shot Object Navigation
citation	246411402	257364847	2	CleanCLIP: Mitigating Data Poisoning Attacks in Multimodal Contrastive Learning
citation	246411402	257427575	6	ChatGPT Is on the Horizon: Could a Large Language Model Be All We Need for Intelligent Transportation?
citation	246411402	257365896	4	Prismer: A Vision-Language Model with An Ensemble of Experts
citation	246411402	257364872	1	FAME-ViL: Multi-Tasking Vision-Language Model for Heterogeneous Fashion Tasks
citation	246411402	257365412	0	Building a Modal-balanced BlockChain with Semantic Reconstruction
citation	246411402	257365027	2	CapDet: Unifying Dense Captioning and Open-World Detection Pretraining
citation	246411402	257353536	8	Prompting Large Language Models with Answer Heuristics for Knowledge-based Visual Question Answering
citation	246411402	257280308	1	MixPHM: Redundancy-Aware Parameter-Efficient Tuning for Low-Resource Visual Question Answering
citation	246411402	257255299	0	CLIPER: A Unified Vision-Language Framework for In-the-Wild Facial Expression Recognition
citation	246411402	257232591	1	AVscript: Accessible Video Editing with Audio-Visual Scripts
citation	246411402	257219741	3	Aligning Bag of Regions for Open-Vocabulary Object Detection
citation	246411402	257232853	9	Vid2Seq: Large-Scale Pretraining of a Visual Language Model for Dense Video Captioning
citation	246411402	257205737	2	Modulating Pretrained Diffusion Models for Multimodal Image Synthesis
citation	246411402	257106495	0	LG-MLFormer: local and global MLP for image captioning
citation	246411402	257038157	2	Prompt Stealing Attacks Against Text-to-Image Generation Models
citation	246411402	257038341	14	Large-scale Multi-Modal Pre-trained Models: A Comprehensive Survey
citation	246411402	256901229	1	MINOTAUR: Multi-task Video Grounding From Multimodal Queries
citation	246411402	256846465	0	Text-Guided Scene Sketch-to-Photo Synthesis
citation	246411402	256827026	2	UniAdapter: Unified Parameter-Efficient Transfer Learning for Cross-modal Modeling
citation	246411402	256808686	0	Is multi-modal vision supervision beneficial to language?
citation	246411402	256827727	223	Adding Conditional Control to Text-to-Image Diffusion Models
citation	246411402	257050241	0	Analyzing Multimodal Objectives Through the Lens of Generative Diffusion Guidance
citation	246411402	256808380	0	Unified Vision-Language Representation Modeling for E-Commerce Same-style Products Retrieval
citation	246411402	259204151	0	SOCRATES: Text-based Human Search and Approach using a Robot Dog
citation	246411402	256697441	1	Re-ViLM: Retrieval-Augmented Visual Language Model for Zero and Few-Shot Image Captioning
citation	246411402	256627601	17	Hard Prompts Made Easy: Gradient-Based Discrete Optimization for Prompt Tuning and Discovery
citation	246411402	256627290	1	SimCon Loss with Multiple Views for Text Supervised Semantic Segmentation
citation	246411402	256616002	44	Zero-shot Image-to-Image Translation
citation	246411402	256615582	44	Structure and Content-Guided Video Synthesis with Diffusion Models
citation	246411402	256627178	9	Pic2Word: Mapping Pictures to Words for Zero-shot Composed Image Retrieval
citation	246411402	256615374	5	Semantic-Guided Image Augmentation with Pre-trained Models
citation	246411402	256503776	0	IC3: Image Captioning by Committee Consensus
citation	246411402	256503774	13	Are Diffusion Models Vulnerable to Membership Inference Attacks?
citation	246411402	256459873	17	mPLUG-2: A Modularized Multi-modal Foundation Model Across Text, Image and Video
citation	246411402	256415903	3	UPop: Unified and Progressive Pruning for Compressing Vision-Language Transformers
citation	246411402	256416326	37	Attend-and-Excite: Attention-Based Semantic Guidance for Text-to-Image Diffusion Models
citation	246411402	258947258	3	Grounding Language Models to Images for Multimodal Inputs and Outputs
citation	246411402	256390509	223	BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models
citation	246411402	256389945	0	Towards Equitable Representation in Text-to-Image Synthesis Models with the Cross-Cultural Understanding Benchmark (CCUB) Dataset
citation	246411402	256358593	1	Semi-Parametric Video-Grounded Text Generation
citation	246411402	258832596	0	Bias-to-Text: Debiasing Unknown Visual Biases through Language Interpretation
citation	246411402	256105069	3	OvarNet: Towards Open-vocabulary Object Attribute Recognition
citation	246411402	256288570	1	Fashion-Oriented Image Captioning with External Knowledge Retrieval and Fully Attentive Gates
citation	246411402	256107160	1	Pre-training with A rational approach for antibody
citation	246411402	256105220	0	Visual Semantic Relatedness Dataset for Image Captioning
citation	246411402	255999631	4	AtMan: Understanding Transformer Predictions Through Memory Efficient Attention Manipulation
citation	246411402	255998387	2	CLIPTER: Looking at the Bigger Picture in Scene Text Recognition
citation	246411402	255998679	1	Towards Models that Can See and Read
citation	246411402	255941669	0	Vision Learners Meet Web Image-Text Pairs
citation	246411402	255942320	4	Multimodality Helps Unimodality: Cross-Modal Few-Shot Learning with Multimodal Models
citation	246411402	255825803	1	Text to Point Cloud Localization with Relation-Enhanced Transformer
citation	246411402	255749241	5	See, Think, Confirm: Interactive Prompting Between Vision and Language Models for Knowledge-based Visual Reasoning
citation	246411402	255749525	0	Toward Building General Foundation Models for Language, Vision, and Vision-Language Understanding Tasks
citation	246411402	255749506	0	HADA: A Graph-based Amalgamation Framework in Image-text Retrieval
citation	246411402	255595629	4	Learning to Exploit Temporal Structure for Biomedical Vision-Language Processing
citation	246411402	255440354	3	Test of Time: Instilling Video-Language Models with a Sense of Time
citation	246411402	255440664	8	MedKLIP: Medical Knowledge Enhanced Language-Image Pre-Training
citation	246411402	255522657	6	Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training
citation	246411402	256652844	3	Fashion Image Retrieval with Text Feedback by Additive Attention Compositional Learning
citation	246411402	256668806	0	Scalable and Accurate Self-supervised Multimodal Representation Learning without Aligned Video and Text Data
citation	246411402	255340506	8	HiTeA: Hierarchical Temporal-Aware Video-Language Pre-training
citation	246411402	255340832	2	Learning Multimodal Data Augmentation in Feature Space
citation	246411402	255096283	4	Do DALL-E and Flamingo Understand Each Other?
citation	246411402	254926741	4	Contrastive Language-Vision AI Models Pretrained on Web-Scraped Multimodal Data Exhibit Sexual Objectification Bias
citation	246411402	254926627	7	From Images to Textual Prompts: Zero-shot VQA with Frozen Large Language Models
citation	246411402	254926847	0	UnICLAM: Contrastive Representation Learning with Adversarial Masking for Unified and Interpretable Medical Vision Question Answering
citation	246411402	254854456	1	Position-guided Text Prompt for Vision-Language Pre-training
citation	246411402	254854092	4	Wukong-Reader: Multi-modal Pre-training for Fine-grained Visual Document Understanding
citation	246411402	254877749	1	LayoutDETR: Detection Transformer Is a Good Multimodal Layout Designer
citation	246411402	254853824	0	Efficient Image Captioning for Edge Devices
citation	246411402	254823104	1	Attentive Mask CLIP
citation	246411402	254686009	5	Are Multimodal Models Robust to Image and Text Perturbations?
citation	246411402	254685570	1	Visually-augmented pretrained language models for NLP tasks without images
citation	246411402	254636197	3	NLIP: Noise-robust Language-Image Pre-training
citation	246411402	254685851	9	CREPE: Can Vision-Language Foundation Models Reason Compositionally?
citation	246411402	254535802	14	SmartBrush: Text and Shape Guided Object Inpainting with Diffusion Model
citation	246411402	254535929	9	VindLU: A Recipe for Effective Video-and-Language Pretraining
citation	246411402	257557855	0	Vision and Structured-Language Pretraining for Cross-Modal Food Retrieval
citation	246411402	254275000	2	ADIR: Adaptive Diffusion for Image Reconstruction
citation	246411402	254275120	4	UniGeo: Unifying Geometry Logical Reasoning via Reformulating Mathematical Expression
citation	246411402	254247022	2	Controllable Image Captioning via Prompting
citation	246411402	254247167	1	Compound Tokens: Channel Fusion for Vision-Language Representation Learning
citation	246411402	254220795	4	ObjectStitch: Generative Object Compositing
citation	246411402	256218906	0	Retaining Semantics in Image to Music Conversion
citation	246411402	254974222	3	Normalized Contrastive Learning for Text-Video Retrieval
citation	246411402	254069806	1	Improving Commonsense in Vision-Language Models via Knowledge Graph Riddles
citation	246411402	254069789	0	SLAN: Self-Locator Aided Network for Cross-Modal Understanding
citation	246411402	254069670	8	SuS-X: Training-Free Name-Only Transfer of Vision-Language Models
citation	246411402	254044190	0	Renmin University of China at TRECVID 2022: Improving Video Search by Feature Fusion and Negation Understanding
citation	246411402	254043520	12	SegCLIP: Patch Aggregation with Learnable Centers for Open-Vocabulary Semantic Segmentation
citation	246411402	254018146	5	ComCLIP: Training-Free Compositional Image and Text Matching
citation	246411402	254018126	0	CLIP-ReID: Exploiting Vision-Language Model for Image Re-Identification without Concrete Text Labels
citation	246411402	254017997	0	Seeing What You Miss: Vision-Language Pre-training with Semantic Completion Learning
citation	246411402	256945180	0	Voice Assisted Image Captioning and VQA For Visually Challenged Individuals
citation	246411402	253801820	4	Open-vocabulary Attribute Detection
citation	246411402	253801749	0	Human or Machine? Turing Tests for Vision and Language
citation	246411402	253761483	8	X2-VLM: All-In-One Pre-trained Model For Vision-Language Tasks
citation	246411402	253734406	6	Teaching Structured Vision&Language Concepts to Vision&Language Models
citation	246411402	253734247	7	Multitask Vision-Language Prompt Tuning
citation	246411402	253734270	1	Unifying Vision-Language Representation Space with Single-tower Transformer
citation	246411402	253735286	6	Language in a Bottle: Language Model Guided Concept Bottlenecks for Interpretable Image Classification
citation	246411402	253735413	6	Exploring Discrete Diffusion Models for Image Captioning
citation	246411402	253734226	9	Synthesizing Coherent Story with Auto-Regressive Latent Diffusion Models
citation	246411402	253734818	1	How to Describe Images in a More Funny Way? Towards a Modular Approach to Cross-Modal Sarcasm Generation
citation	246411402	253708272	3	Diagnostics for Deep Neural Networks with Automated Copy/Paste Attacks
citation	246411402	253581517	4	ConStruct-VL: Data-Free Continual Structured VL Concepts Learning
citation	246411402	253523371	23	Versatile Diffusion: Text, Images and Variations All in One Diffusion Model
citation	246411402	253523513	3	Will Large-scale Generative Models Corrupt Future Datasets?
citation	246411402	253510790	8	Follow the Wisdom of the Crowd: Effective Text Generation via Minimum Bayes Risk Decoding
citation	246411402	253510536	55	Latent-NeRF for Shape-Guided Generation of 3D Shapes and Textures
citation	246411402	253447226	1	Watching the News: Towards VideoQA Models that can Read
citation	246411402	253446913	0	Zero-shot Visual Commonsense Immorality Prediction
citation	246411402	253254967	11	Chinese CLIP: Contrastive Vision-Language Pretraining in Chinese
citation	246411402	253244224	2	Training Vision-Language Models with Less Bimodal Supervision
citation	246411402	253205302	2	Diffscriber: Describing Visual Design Changes to Support Mixed-Ability Collaborative Presentation Authoring
citation	246411402	253157676	4	FaD-VLP: Fashion Vision-and-Language Pre-training towards Unified Retrieval and Captioning
citation	246411402	253107265	0	Abductive Action Inference
citation	246411402	253098734	0	Modal-specific Pseudo Query Generation for Video Corpus Moment Retrieval
citation	246411402	253080390	0	Describing Sets of Images with Textual-PCA
citation	246411402	253080333	2	LiteVL: Efficient Video-Language Learning with Enhanced Spatial-Temporal Modeling
citation	246411402	254152961	0	ITMix: Image-Text Mix Augmentation for Transferring CLIP to Image Classification
citation	246411402	253018413	2	VTC: Improving Video-Text Retrieval with User Comments
citation	246411402	252967984	0	MMGA: Multimodal Learning with Graph Alignment
citation	246411402	252992913	32	MedCLIP: Contrastive Learning from Unpaired Medical Images and Text
citation	246411402	255995156	0	Proposals and practices for open image data processing and promotion in local governments
citation	246411402	252917791	17	Plug-and-Play VQA: Zero-shot VQA by Conjoining Large Pretrained Models with Zero Training
citation	246411402	252917726	411	LAION-5B: An open large-scale dataset for training next generation image-text models
citation	246411402	252907639	3	Plausible May Not Be Faithful: Probing Object Hallucination in Vision-Language Pre-training
citation	246411402	252873127	3	Decoding Visual Neural Representations by Multimodal Learning of Brain-Visual-Linguistic Features
citation	246411402	252907602	1	Caption supervision enables robust learners
citation	246411402	252873611	0	RaP: Redundancy-aware Video-language Pre-training for Text-Video Retrieval
citation	246411402	255546643	1	DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models
citation	246411402	252846468	11	Multi-Granularity Cross-modal Alignment for Generalized Medical Visual Representation Learning
citation	246411402	252846643	0	One does not fit all! On the Complementarity of Vision Encoders for Vision and Language Tasks
citation	246411402	252783028	1	CMAL: A Novel Cross-Modal Associative Learning Framework for Vision-Language Pre-Training
citation	246411402	252815403	4	Contrastive Video-Language Learning with Fine-grained Frame Sampling
citation	246411402	252780722	1	VoLTA: Vision-Language Transformer with Weakly-Supervised Local-Feature Alignment
citation	246411402	252780197	0	Learning Fine-Grained Visual Understanding for Video Question Answering via Decoupling Spatial-Temporal Modeling
citation	246411402	252734947	32	When and why vision-language models behave like bags-of-words, and what to do about it?
citation	246411402	252683365	16	Membership Inference Attacks Against Text-to-image Generation Models
citation	246411402	252693397	13	Prompt Learning with Optimal Transport for Vision-Language Models
citation	246411402	258260421	0	Image Feature Understanding and Semantic Representation Based on Deep Learning
citation	246411402	252683285	1	Zemi: Learning Zero-Shot Semi-Parametric Language Models from Multiple Tasks
citation	246411402	252668790	6	SmallCap: Lightweight Image Captioning Prompted with Retrieval Augmentation
citation	246411402	252668578	18	F-VLM: Open-Vocabulary Object Detection upon Frozen Vision and Language Models
citation	246411402	252668402	1	Data Poisoning Attacks Against Multimodal Encoders
citation	246411402	252595675	1	REST: REtrieve & Self-Train for generative action recognition
citation	246411402	252596109	2	Domain-Unified Prompt Representations for Source-Free Domain Generalization
citation	246411402	252567884	0	Mr. Right: Multimodal Retrieval on Representation of ImaGe witH Text
citation	246411402	252567938	1	Revisiting Few-Shot Learning from a Causal Perspective
citation	246411402	252544941	3	Text-Adaptive Multiple Visual Prototype Matching for Video-Text Retrieval
citation	246411402	252520383	3	Describing UI Screenshots in Natural Language
citation	246411402	252383381	18	DetCLIP: Dictionary-Enriched Visual-Concept Paralleled Pre-training for Open-world Detection
citation	246411402	252283985	41	OmniVL: One Foundation Model for Image-Language and Video-Language Tasks
citation	246411402	252284022	23	Test-Time Prompt Tuning for Zero-Shot Generalization in Vision-Language Models
citation	246411402	252355013	4	PTab: Using the Pre-trained Language Model for Modeling Tabular Data
citation	246411402	252367367	12	LAVIS: A Library for Language-Vision Intelligence
citation	246411402	257255497	1	Correlation Information Bottleneck: Towards Adapting Pretrained Multimodal Models for Robust Visual Question Answering
citation	246411402	252118430	6	FETA: Towards Specializing Foundation Models for Expert Task Applications
citation	246411402	251881489	4	Multimedia Generative Script Learning for Task Planning
citation	246411402	251719655	231	Image as a Foreign Language: BEiT Pretraining for All Vision and Vision-Language Tasks
citation	246411402	258557107	1	Persuasion Strategies in Advertisements
citation	246411402	251719633	5	A Dual Modality Approach For (Zero-Shot) Multi-Label Classification
citation	246411402	256080463	1	ILLUME: Rationalizing Vision-Language Models through Human Interactions
citation	246411402	251594591	19	ConTextual Mask Auto-Encoder for Dense Passage Retrieval
citation	246411402	251564151	10	ExpansionNet v2: Block Static Expansion in fast end to end training for Image Captioning
citation	246411402	251320380	14	Fine-Grained Semantically Aligned Vision-Language Pre-Training
citation	246411402	251280143	10	Masked Vision and Language Modeling for Multi-modal Representation Learning
citation	246411402	251066984	15	Learning Visual Representation from Modality-Shared Contrastive Language-Image Pre-training
citation	246411402	251067130	1	V2L: Leveraging Vision and Vision-language Models into Large-scale Product Retrieval
citation	246411402	251018313	9	Zero-Shot Video Captioning with Evolving Pseudo-Tokens
citation	246411402	250607787	18	Is a Caption Worth a Thousand Images? A Controlled Study for Representation Learning
citation	246411402	250451319	5	IDEA: Increasing Text Diversity via Online Multi-Label Recognition for Vision-Language Pre-training
citation	246411402	250279886	0	Vision-and-Language Pretraining
citation	246411402	250279956	1	Scene-Aware Prompt for Multi-modal Dialogue Understanding and Generation
citation	246411402	254017945	6	Revisiting Classifier: Transferring Vision-Language Models for Video Recognition
citation	246411402	250264596	11	American == White in Multimodal Language-and-Image AI
citation	246411402	250451364	1	Tell Me the Evidence? Dual Visual-Linguistic Interaction for Answer Grounding
citation	246411402	249890126	2	What is Where by Looking: Weakly-Supervised Open-World Phrase-Grounding without Text Inputs
citation	246411402	249848272	87	Unified-IO: A Unified Model for Vision, Language, and Multi-Modal Tasks
citation	246411402	249848285	2	Understanding Aesthetics with Language: A Photo Critique Dataset for Aesthetic Assessment
citation	246411402	249847972	0	Entity-Graph Enhanced Cross-Modal Pretraining for Instance-level Product Retrieval
citation	246411402	249848120	10	Bridge-Tower: Building Bridges Between Encoders in Vision-Language Representation Learning
citation	246411402	249712192	15	MixGen: A New Multi-Modal Data Augmentation
citation	246411402	249712016	35	Zero-Shot Video Question Answering via Frozen Bidirectional Language Models
citation	246411402	249674874	33	Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone
citation	246411402	249674556	21	LAVENDER: Unifying Video-Language Understanding as Masked Language Modeling
citation	246411402	249642175	55	Multimodal Learning with Transformers: A Survey
citation	246411402	249538647	14	Uni-Perceiver-MoE: Learning Sparse Generalist Models with Conditional MoEs
citation	246411402	249431866	31	Revealing Single Frame Bias for Video-and-Language Learning
citation	246411402	249395345	7	Visual Clues: Bridging Vision and Language Foundations for Image Paragraph Captioning
citation	246411402	249282421	6	Prefix Conditioning Unifies Language and Label Supervision
citation	246411402	251063889	0	Object Prior Embedded Network for Query-Agnostic Image Retrieval
citation	246411402	251020112	14	The Unreasonable Effectiveness of CLIP Features for Image Captioning: An Experimental Analysis
citation	246411402	249152323	106	GIT: A Generative Image-to-text Transformer for Vision and Language
citation	246411402	249192306	42	Multimodal Masked Autoencoders Learn Transferable Representations
citation	246411402	249062973	0	The Dialog Must Go On: Improving Visual Dialog via Generative Self-Training
citation	246411402	249018141	36	mPLUG: Effective and Efficient Vision-Language Learning by Cross-modal Skip-connections
citation	246411402	248987346	31	Language Models with Image Descriptors are Strong Few-Shot Video-Language Learners
citation	246411402	259164973	0	Training Vision-Language Transformers from Captions
citation	246411402	248834430	19	A CLIP-Hitchhiker's Guide to Long Video Retrieval
citation	246411402	248571892	10	Zero and R2D2: A Large-scale Chinese Cross-modal Benchmark and A Vision-Language Framework
citation	246411402	248512473	372	CoCa: Contrastive Captioners are Image-Text Foundation Models
citation	246411402	248476411	583	Flamingo: a Visual Language Model for Few-Shot Learning
citation	246411402	258187493	0	Reducing Predictive Feature Suppression in Resource-Constrained Contrastive Image-Caption Retrieval
citation	246411402	248006373	13	ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO
citation	246411402	247996596	46	KNN-Diffusion: Image Generation via Large-Scale Retrieval
citation	246411402	247922520	152	Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language
citation	246411402	247763118	10	Large-scale Bilingual Language-Image Contrastive Learning
citation	246411402	247762352	7	Single-Stream Multi-Level Alignment for Vision-Language Pretraining
citation	246411402	257616068	0	Bilaterally Slimmable Transformer for Elastic and Efficient Visual Question Answering
citation	246411402	247447159	28	Enabling Multimodal Generation on CLIP via Vision-Language Knowledge Distillation
citation	246411402	250607486	0	Rethinking Task Sampling for Few-shot Vision-Language Transfer Learning
citation	246411402	248986087	12	A Data-scalable Transformer for Medical Image Segmentation: Architecture, Model Efficiency, and Benchmark
citation	246411402	246652372	265	Survey of Hallucination in Natural Language Generation
citation	246411402	247778870	6	Universal Captioner: Inducing Content-Style Separation in Vision-and-Language Model Training
citation	246411402	239768292	27	Image-Based CLIP-Guided Essence Transfer
citation	246411402	252547679	1	Denoising Large-Scale Image Captioning from Alt-text Data Using Content Selection Models
citation	246411402	256274665	1	Explaining Visual Biases as Words by Generating Captions
citation	246411402	256808486	0	Towards Text-based Human Search and Approach with an Intelligent Robot Dog
citation	246411402	257427236	1	Replacement as a Self-supervision for Fine-grained Vision-language Pre-training
citation	246411402	257833781	97	HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face
citation	246411402	251623219	0	ILLUME: Rationalizing Vision-Language Models by Interacting with their Jabber
citation	246411402	249171942	1	Few-shot image classification by generating natural language rules
citation	246411402	251471819	1	ImageSem Group at ImageCLEFmedical Caption 2022 task: Generating Medical Image Descriptions based on Vision-Language Pre-training
citation	246411402	252873452	24	DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Diffusion Models
citation	246411402	252275875	1	Vision Encoders in Visual Question Answering
citation	246411402	252715710	0	W HEN AND WHY V ISION -L ANGUAGE M ODELS BE HAVE LIKE B AGS - OF -W ORDS , AND WHAT TO DO ABOUT IT ?
citation	246411402	250264677	7	Transferring Textual Knowledge for Visual Recognition
citation	246411402	251718952	0	Persuasion Strategies in Advertisements: Dataset, Modeling, and Baselines
citation	246411402	252280594	2	Finetuning Pretrained Vision-Language Models with Correlation Information Bottleneck for Robust Visual Question Answering
citation	246411402	253253384	0	C ONTRASTIVE P ROMPT T UNING I MPROVES G ENERALIZATION IN V ISION -L ANGUAGE M ODELS
citation	246411402	254129024	1	Multimodal Context Carryover
citation	246411402	254408745	1	Structured Vision-Language Pretraining for Computational Cooking
citation	246411402	248887359	8	Training Vision-Language Transformers from Captions Alone
citation	246411402	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'COMPRESSING VISION-LANGUAGE TRANSFORMERS', 'citationCount': None}
