query	172 references	583 citations	Flamingo: a Visual Language Model for Few-Shot Learning
citation	248476411	258685677	9	CodeT5+: Open Code Large Language Models for Code Understanding and Generation
citation	248476411	258676618	0	ArtGPT-4: Artistic Vision-Language Understanding with Adapter-enhanced MiniGPT-4
citation	248476411	258615748	0	Self-Chained Image-Language Model for Video Localization and Question Answering
citation	248476411	258615154	0	Musketeer (All for One, and One for All): A Generalist Vision-Language Model with Task Explanation Prompts
citation	248476411	258615266	19	InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning
citation	248476411	258615702	0	An Inverse Scaling Law for CLIP Training
citation	248476411	258615536	0	Region-Aware Pretraining for Open-Vocabulary Object Detection with Vision Transformers
citation	248476411	258615698	0	Simple Token-Level Confidence Improves Caption Correctness
citation	248476411	258588013	0	ChinaOpen: A Dataset for Open-world Multimodal Learning
citation	248476411	258588126	0	Visual Tuning
citation	248476411	258615409	0	Combo of Thinking and Observing for Outside-Knowledge VQA
citation	248476411	258564264	22	ImageBind: One Embedding Space To Bind Them All
citation	248476411	258588032	1	Vision-Language Models in Remote Sensing: Current Progress and Future Trends
citation	248476411	258589318	0	Multimodal fusion models for pulmonary embolism mortality prediction
citation	248476411	258557672	11	MultiModal-GPT: A Vision and Language Model for Dialogue with Humans
citation	248476411	258546868	1	LMEye: An Interactive Perception Network for Large Language Models
citation	248476411	258547300	9	Otter: A Multi-Modal Model with In-Context Instruction Tuning
citation	248476411	258557909	0	Zelda: Video Analytics using Vision-Language Models
citation	248476411	258480288	0	Image Captioners Sometimes Tell More Than Images They See
citation	248476411	258546790	0	VideoOFA: Two-Stage Pre-Training for Video-to-Text Generation
citation	248476411	258461301	0	Making the Most of What You Have: Adapting Pre-trained Visual Language Models in the Low-data Regime
citation	248476411	258461612	1	Multimodal Data Augmentation for Image Captioning using Diffusion Models
citation	248476411	258436945	4	Transfer Visual Prompt Generator across LLMs
citation	248476411	258461059	3	Multimodal Procedural Planning via Dual Text-Image Prompting
citation	248476411	258437037	3	In-Context Learning Unlocked for Diffusion Models
citation	248476411	258377506	0	Visual Item Selection With Voice Assistants: A systems perspective
citation	248476411	258426716	2	Instruction-ViT: Multi-Modal Prompts for Instruction Learning in ViT
citation	248476411	258418343	11	LLaMA-Adapter V2: Parameter-Efficient Visual Instruction Model
citation	248476411	258352455	20	mPLUG-Owl: Modularization Empowers Large Language Models with Multimodality
citation	248476411	258352812	7	DataComp: In search of the next generation of multimodal datasets
citation	248476411	258352258	0	SeqTrack: Sequence to Sequence Learning for Visual Object Tracking
citation	248476411	258309660	0	The Potential of Visual ChatGPT For Remote Sensing
citation	248476411	258332133	1	LEMaRT: Label-Efficient Masked Region Transform for Image Harmonization
citation	248476411	258298084	9	Is ChatGPT the Ultimate Programming Assistant - How far is it?
citation	248476411	258298825	16	A Cookbook of Self-Supervised Learning
citation	248476411	258291685	0	RoCOCO: Robust Benchmark MS-COCO to Stress-test Robustness of Image-Text Matching Models
citation	248476411	258291930	66	MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models
citation	248476411	258187127	0	SViTT: Temporal Learning of Sparse Video-Text Transformers
citation	248476411	258179576	8	VALOR: Vision-Audio-Language Omni-Perception Pretraining Model and Dataset
citation	248476411	258180547	2	Towards Robust Prompts on Vision-Language Models
citation	248476411	258179774	57	Visual Instruction Tuning
citation	248476411	258179336	18	Tool Learning with Foundation Models
citation	248476411	258179022	2	BenchMD: A Benchmark for Modality-Agnostic Learning on Medical Images and Sensors
citation	248476411	258187415	0	Grounding Classical Task Planners via Vision-Language Models
citation	248476411	258212437	1	Pretrained Language Models as Visual Planners for Human Assistance
citation	248476411	258180277	0	Chain of Thought Prompt Tuning in Vision Language Models
citation	248476411	258170467	6	Multimodal C4: An Open, Billion-scale Corpus of Images Interleaved With Text
citation	248476411	258108363	2	Verbs in Action: Improving verb understanding in video-language models
citation	248476411	258107889	1	Efficient Multimodal Fusion via Interactive Prompting
citation	248476411	258108073	3	Lossless Adaptation of Pretrained Vision Models For Robotic Manipulation
citation	248476411	258108138	4	What does CLIP know about a red circle? Visual prompt engineering for VLMs
citation	248476411	258108191	0	Converting ECG Signals to Images for Efficient Image-text Retrieval via Encoding
citation	248476411	258170385	0	Modeling Dense Multimodal Interactions Between Biological Pathways and Histology for Survival Prediction
citation	248476411	258060032	1	Improving Image Recognition by Retrieving from Web-Scale Image-Text Data
citation	248476411	258060128	2	SATR: Zero-Shot Semantic Segmentation of 3D Shapes
citation	248476411	258079058	0	MoMo: A shared encoder Model for text, image and multi-Modal representations
citation	248476411	258048653	1	Exploring Effective Factors for Improving Visual In-Context Learning
citation	248476411	258049025	0	SoccerNet-Caption: Dense Video Captioning for Soccer Broadcasts Commentaries
citation	248476411	258049322	0	On Robustness in Multimodal Learning
citation	248476411	258048445	4	Video ChatCaptioner: Towards Enriched Spatiotemporal Descriptions
citation	248476411	258040947	1	Probing Conceptual Understanding of Large Visual-Language Models
citation	248476411	257985091	3	Uncurated Image-Text Datasets: Shedding Light on Demographic Bias
citation	248476411	258041361	1	Exposing and Mitigating Spurious Correlations for Cross-Modal Retrieval
citation	248476411	258041269	17	InstantBooth: Personalized Text-to-Image Generation without Test-Time Finetuning
citation	248476411	257952112	1	Towards Self-Explainability of Deep Neural Networks with Heatmap Captioning and Large-Language Models
citation	248476411	257952668	0	VicTR: Video-conditioned Text Representations for Activity Recognition
citation	248476411	257921849	0	Locate Then Generate: Bridging Vision and Language with Bounding Box for Scene-Text VQA
citation	248476411	257921750	2	The Vector Grounding Problem
citation	248476411	257913360	2	RegionPLC: Regional Point-Language Contrastive Learning for Open-World 3D Scene Understanding
citation	248476411	257913684	2	Not All Features Matter: Enhancing Few-shot CLIP with Adaptive Prior Refinement
citation	248476411	257913769	1	Use Your Head: Improving Long-Tail Video Recognition
citation	248476411	257913333	13	Eight Things to Know about Large Language Models
citation	248476411	255629486	1	ArtVerse: A Paradigm for Parallel Human–Machine Collaborative Painting Creation in Metaverses
citation	248476411	257826567	3	Can ChatGPT Boost Artistic Creation: The Need of Imaginative Intelligence for Parallel Art
citation	248476411	258083369	24	Foundation models for generalist medical artificial intelligence
citation	248476411	258113964	0	Möglichkeiten zur Erkennung von Hate Speech
citation	248476411	257900813	2	Procedure-Aware Pretraining for Instructional Video Understanding
citation	248476411	257804730	0	AutoAD: Movie Description in Context
citation	248476411	257834038	21	Language Models can Solve Computer Tasks
citation	248476411	257833840	1	Sound to Visual Scene Generation by Audio-to-Visual Latent Alignment
citation	248476411	257900754	2	Vision-Language Modelling For Radiological Imaging and Reports In The Low Data Regime
citation	248476411	257771787	13	Your Diffusion Model is Secretly a Zero-Shot Classifier
citation	248476411	257804657	3	MaMMUT: A Simple Architecture for Joint Learning for MultiModal Tasks
citation	248476411	257804808	0	AVFormer: Injecting Vision into Frozen Speech Models for Zero-Shot AV-ASR
citation	248476411	257771303	0	Large-scale pretraining on pathological images for fine-tuning of small pathological benchmarks
citation	248476411	257771811	35	LLaMA-Adapter: Efficient Fine-tuning of Language Models with Zero-init Attention
citation	248476411	257766897	8	WinCLIP: Zero-/Few-Shot Anomaly Classification and Segmentation
citation	248476411	257767011	1	IFSeg: Image-free Semantic Segmentation via Vision-Language Model
citation	248476411	257766245	2	Equivariant Similarity for Vision-Language Foundation Models
citation	248476411	257766346	1	Train/Test-Time Adaptation with Retrieval
citation	248476411	257687730	1	Three ways to improve feature alignment for open vocabulary detection
citation	248476411	257687223	3	Visual-Language Prompt Tuning with Knowledge-guided Context Optimization
citation	248476411	257687801	3	CoBIT: A Contrastive Bi-directional Image-Text Generation Model
citation	248476411	257663583	1	MAGVLT: Masked Generative Vision-and-Language Transformer
citation	248476411	257636716	0	VideoXum: Cross-modal Visual and Textural Summarization of Videos
citation	248476411	257637187	0	Contrastive Alignment of Vision to Language Through Parameter-Efficient Transfer Learning
citation	248476411	257637012	47	MM-REACT: Prompting ChatGPT for Multimodal Reasoning and Action
citation	248476411	257636922	1	eP-ALM: Efficient Perceptual Augmentation of Language Models
citation	248476411	257631498	6	EVA-02: A Visual Representation for Neon Genesis
citation	248476411	257631613	1	Location-Free Scene Graph Generation
citation	248476411	257631473	3	PanGu-{\Sigma}: Towards Trillion Parameter Language Model with Sparse Heterogeneous Computing
citation	248476411	257632157	5	Retrieving Multimodal Information for Augmented Generation: A Survey
citation	248476411	257632366	5	CLIP goes 3D: Leveraging Prompt Tuning for Language Grounded 3D Recognition
citation	248476411	257632218	0	Decomposed Prototype Learning for Few-Shot Scene Graph Generation
citation	248476411	257622604	2	IRGen: Generative Modeling for Image Retrieval
citation	248476411	257622952	0	Enhancing the Role of Context in Region-Word Alignment for Object Detection
citation	248476411	257622977	0	CHAMPAGNE: Learning Real-world Conversation from Large-Scale Web Videos
citation	248476411	257557423	0	Unified Visual Relationship Detection with Vision and Language Models
citation	248476411	257622775	0	Visual Information Matters for ASR Error Correction
citation	248476411	257622925	3	HIVE: Harnessing Human Feedback for Instructional Visual Editing
citation	248476411	257622945	0	Instance-Conditioned GAN Data Augmentation for Representation Learning
citation	248476411	257532815	366	GPT-4 Technical Report
citation	248476411	257505358	36	ViperGPT: Visual Inference via Python Execution for Reasoning
citation	248476411	257496810	6	Vision-Language Models as Success Detectors
citation	248476411	257496100	3	Scaling Vision-Language Models with Sparse Mixture of Experts
citation	248476411	257495821	0	Evaluating Visual Number Discrimination in Deep Neural Networks
citation	248476411	257496749	5	Breaking Common Sense: WHOOPS! A Vision-and-Language Benchmark of Synthetic and Compositional Images
citation	248476411	257505475	2	Architext: Language-Driven Generative Architecture Design
citation	248476411	257496234	10	ChatGPT Asks, BLIP-2 Answers: Automatic Questioning Towards Enriched Visual Descriptions
citation	248476411	257496352	1	ZeroNLG: Aligning and Autoencoding Domains for Zero-Shot Multimodal and Multilingual Natural Language Generation
citation	248476411	257496741	0	Multimodal Data Integration for Oncology in the Era of Deep Neural Networks: A Review
citation	248476411	259164940	0	Accountable Textual-Visual Chat Learns to Reject Human Instructions in Image Re-creation
citation	248476411	257405465	0	Sample Efficient Multimodal Semantic Augmentation for Incremental Summarization
citation	248476411	257404891	105	Visual ChatGPT: Talking, Drawing and Editing with Visual Foundation Models
citation	248476411	257405349	29	A Comprehensive Survey of AI-Generated Content (AIGC): A History of Generative AI from GAN to ChatGPT
citation	248476411	257378587	21	Foundation Models for Decision Making: Problems, Methods, and Opportunities
citation	248476411	257378171	0	Describe me an Aucklet: Generating Grounded Perceptual Category Descriptions
citation	248476411	257378411	2	Introspective Cross-Attention Probing for Lightweight Transfer of Pre-trained Models
citation	248476411	257378516	0	A Challenging Benchmark for Low-Resource Learning
citation	248476411	257364847	2	CleanCLIP: Mitigating Data Poisoning Attacks in Multimodal Contrastive Learning
citation	248476411	257364842	119	PaLM-E: An Embodied Multimodal Language Model
citation	248476411	257365203	3	DeCap: Decoding CLIP Latents for Zero-Shot Captioning via Text-Only Training
citation	248476411	257365896	4	Prismer: A Vision-Language Model with An Ensemble of Experts
citation	248476411	257365069	2	Improving Audio-Visual Video Parsing with Pseudo Visual Labels
citation	248476411	257353536	8	Prompting Large Language Models with Answer Heuristics for Knowledge-based Visual Question Answering
citation	248476411	257254972	1	Rethinking Efficient Tuning Methods from a Unified Perspective
citation	248476411	257279977	9	Grounded Decoding: Guiding Text Generation with Grounded Models for Robot Control
citation	248476411	257232537	1	Meta Learning to Bridge Vision and Language Models for Multimodal Few-Shot Learning
citation	248476411	257255438	1	The Trade-off between Universality and Label Efficiency of Representations from Contrastive Learning
citation	248476411	257220515	0	Knowledge-enhanced Visual-Language Pre-training on Chest Radiology Images
citation	248476411	257219775	63	Language Is Not All You Need: Aligning Perception with Language Models
citation	248476411	257220002	2	The Role of Pre-training Data in Transfer Learning
citation	248476411	257232853	9	Vid2Seq: Large-Scale Pretraining of a Visual Language Model for Dense Video Captioning
citation	248476411	257205716	6	Language-Driven Representation Learning for Robotics
citation	248476411	257102433	4	Can Pre-trained Vision and Language Models Answer Visual Information-Seeking Questions?
citation	248476411	257102813	11	Teaching CLIP to Count to Ten
citation	248476411	257102616	10	Side Adapter Network for Open-Vocabulary Semantic Segmentation
citation	248476411	257078634	12	Modular Deep Learning
citation	248476411	257079001	9	Scaling Robot Learning with Semantically Imagined Experience
citation	248476411	257079185	2	Connecting Vision and Language with Video Localized Narratives
citation	248476411	257038341	14	Large-scale Multi-Modal Pre-trained Models: A Comprehensive Survey
citation	248476411	257050680	8	Harms from Increasingly Agentic Algorithmic Systems
citation	248476411	257663314	0	Few-shot Multimodal Multitask Multilingual Learning
citation	248476411	256901111	16	Auditing large language models: a three-layered approach
citation	248476411	256901229	1	MINOTAUR: Multi-task Video Grounding From Multimodal Queries
citation	248476411	256868474	68	Augmented Language Models: a Survey
citation	248476411	256900864	0	ANSEL Photobot: A Robot Event Photographer with Semantic Intelligence
citation	248476411	256846858	29	ChatCAD: Interactive Computer-Aided Diagnosis on Medical Image using Large Language Models
citation	248476411	256827026	2	UniAdapter: Unified Parameter-Efficient Transfer Learning for Cross-modal Modeling
citation	248476411	256846700	12	Guiding Pretraining in Reinforcement Learning with Large Language Models
citation	248476411	256868804	5	Transformer models: an introduction and catalog
citation	248476411	256827706	1	Cross-Modal Fine-Tuning: Align then Refine
citation	248476411	256808499	0	Boosting 3D Point Cloud Registration by Transferring Multi-modality Knowledge
citation	248476411	256826784	0	AV-data2vec: Self-supervised Learning of Audio-Visual Speech Representations with Contextualized Target Representations
citation	248476411	256697441	1	Re-ViLM: Retrieval-Augmented Visual Language Model for Zero and Few-Shot Image Captioning
citation	248476411	256697279	0	The Edge of Orthogonality: A Simple View of What Makes BYOL Tick
citation	248476411	256661805	10	ChatGPT for Clinical Vignette Generation, Revision, and Evaluation
citation	248476411	256627290	1	SimCon Loss with Multiple Views for Text Supervised Semantic Segmentation
citation	248476411	256616065	1	Multipath agents for modular multitask ML systems
citation	248476411	256627178	9	Pic2Word: Mapping Pictures to Words for Zero-shot Composed Image Retrieval
citation	248476411	256615888	6	Contrast with Reconstruct: Contrastive 3D Representation Learning Guided by Generative Pretraining
citation	248476411	256598146	36	Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents
citation	248476411	256503776	0	IC3: Image Captioning by Committee Consensus
citation	248476411	256503851	0	QR-CLIP: Introducing Explicit Open-World Knowledge for Location and Time Reasoning
citation	248476411	256504073	1	Language Quantized AutoEncoders: Towards Unsupervised Text-Image Alignment
citation	248476411	256459309	1	Improving Few-Shot Generalization by Exploring and Exploiting Auxiliary Data
citation	248476411	256459487	0	Does Vision Accelerate Hierarchical Generalization of Neural Language Learners?
citation	248476411	256459570	1	Inferring pointwise diffusion properties of single trajectories with deep learning
citation	248476411	256459873	17	mPLUG-2: A Modularized Multi-modal Foundation Model Across Text, Image and Video
citation	248476411	258947258	3	Grounding Language Models to Images for Multimodal Inputs and Outputs
citation	248476411	256416477	8	What Makes Good Examples for Visual In-Context Learning?
citation	248476411	256459809	16	Learning Universal Policies via Text-Guided Video Generation
citation	248476411	256390509	223	BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and Large Language Models
citation	248476411	256389594	1	Distilling Internet-Scale Vision-Language Models into Embodied Agents
citation	248476411	256358593	1	Semi-Parametric Video-Grounded Text Generation
citation	248476411	257536656	0	GITAAR-GIT based Abnormal Activity Recognition on UCF Crime Dataset
citation	248476411	256194112	6	Open-World Multi-Task Control Through Goal-Aware Representation Learning and Adaptive Horizon Prediction
citation	248476411	256181779	0	Cystoscopic depth estimation using gated adversarial domain adaptation
citation	248476411	255999876	2	Multimodal Video Adapter for Parameter Efficient Video Text Retrieval
citation	248476411	258309125	0	Masked Autoencoding Does Not Help Natural Language Supervision at Scale
citation	248476411	255998679	1	Towards Models that Can See and Read
citation	248476411	255998387	2	CLIPTER: Looking at the Bigger Picture in Scene Text Recognition
citation	248476411	255942528	46	GLIGEN: Open-Set Grounded Text-to-Image Generation
citation	248476411	255942790	7	Learning Customized Visual Models with Retrieval-Augmented Knowledge
citation	248476411	255941669	0	Vision Learners Meet Web Image-Text Pairs
citation	248476411	255942320	4	Multimodality Helps Unimodality: Cross-Modal Few-Shot Learning with Multimodal Models
citation	248476411	255749241	5	See, Think, Confirm: Interactive Prompting Between Vision and Language Models for Knowledge-based Visual Reasoning
citation	248476411	255749525	0	Toward Building General Foundation Models for Language, Vision, and Vision-Language Understanding Tasks
citation	248476411	255749414	0	Scene-centric vs. Object-centric Image-Text Cross-modal Retrieval: A Reproducibility Study
citation	248476411	255595629	4	Learning to Exploit Temporal Structure for Biomedical Vision-Language Processing
citation	248476411	255749330	38	ChatGPT is not all you need. A State of the Art Review of large Generative AI models
citation	248476411	255522651	4	TarViS: A Unified Approach for Target-based Video Segmentation
citation	248476411	255440354	3	Test of Time: Instilling Video-Language Models with a Sense of Time
citation	248476411	255440514	3	CiT: Curation in Training for Effective Vision-Language Data
citation	248476411	255440452	4	All in Tokens: Unifying Output Space of Visual Tasks via Soft Token
citation	248476411	255522657	6	Filtering, Distillation, and Hard Negatives for Vision-Language Pre-Training
citation	248476411	256668806	0	Scalable and Accurate Self-supervised Multimodal Representation Learning without Aligned Video and Text Data
citation	248476411	255372865	2	A Survey for In-context Learning
citation	248476411	255340560	6	On Transforming Reinforcement Learning by Transformer: The Development Trajectory
citation	248476411	255125289	2	Neural Shape Compiler: A Unified Framework for Transforming between Text, Point Cloud, and Program
citation	248476411	255096283	4	Do DALL-E and Flamingo Understand Each Other?
citation	248476411	254926627	7	From Images to Textual Prompts: Zero-shot VQA with Frozen Large Language Models
citation	248476411	254926784	17	MultiInstruct: Improving Multi-Modal Zero-Shot Learning via Instruction Tuning
citation	248476411	254877731	1	Tackling Ambiguity with Images: Improved Multimodal Machine Translation and Contrastive Evaluation
citation	248476411	254926490	5	Task Ambiguity in Humans and Language Models
citation	248476411	254853727	1	MIST: Multi-modal Iterative Spatial-Temporal Transformer for Long-form Video Question Answering
citation	248476411	254854035	2	Distilling Vision-Language Pre-training to Collaborate with Weakly-Supervised Temporal Action Localization
citation	248476411	254854456	1	Position-guided Text Prompt for Vision-Language Pre-training
citation	248476411	254927894	0	Synthetic whole-slide image tile generation with gene expression profiles infused deep generative models
citation	248476411	254854558	2	3D Point Cloud Pre-training with Knowledge Distillation from 2D Images
citation	248476411	254823430	3	Feature Dropout: Revisiting the Role of Augmentations in Contrastive Learning
citation	248476411	254686009	5	Are Multimodal Models Robust to Image and Text Perturbations?
citation	248476411	254685570	1	Visually-augmented pretrained language models for NLP tasks without images
citation	248476411	257912836	1	CLIPPO: Image-and-Language Understanding from Pixels Only
citation	248476411	254685628	4	Vision Transformers are Parameter-Efficient Audio-Visual Learners
citation	248476411	254636568	51	Reproducible scaling laws for contrastive language-image learning
citation	248476411	254685875	8	Efficient Self-supervised Learning with Contextualized Target Representations for Vision, Speech and Language
citation	248476411	254222854	7	On Pre-Training for Visuo-Motor Control: Revisiting a Learning-from-Scratch Baseline
citation	248476411	254564474	0	A Survey on Natural Language Processing for Programming
citation	248476411	254591628	0	Breaking the "Object" in Video Object Segmentation
citation	248476411	254564204	6	REVEAL: Retrieval-Augmented Visual-Language Pre-Training with Multi-Source Multimodal Knowledge Memory
citation	248476411	254535696	13	Video-Text Modeling with Zero-Shot Transfer from Contrastive Captioners
citation	248476411	254408759	2	OFASys: A Multi-Modal Multi-Task Learning System for Building Generalist Models
citation	248476411	254408800	4	Frozen CLIP Model is An Efficient Point Cloud Backbone
citation	248476411	254408495	21	Editing Models with Task Arithmetic
citation	248476411	254408863	2	DialogCC: Large-Scale Multi-Modal Dialogue Dataset
citation	248476411	254408708	2	Task Bias in Vision-Language Models
citation	248476411	254408789	6	Learning Video Representations from Large Language Models
citation	248476411	257557855	0	Vision and Structured-Language Pretraining for Cross-Modal Food Retrieval
citation	248476411	254366666	28	Talking About Large Language Models
citation	248476411	254408639	3	ViTPose+: Vision Transformer Foundation Model for Generic Body Pose Estimation
citation	248476411	254275252	5	Rethinking Video ViTs: Sparse Video Tubes for Joint Image and Video Learning
citation	248476411	254275041	25	InternVideo: General Video Foundation Models via Generative and Discriminative Learning
citation	248476411	254275120	4	UniGeo: Unifying Geometry Logical Reasoning via Reformulating Mathematical Expression
citation	248476411	254275172	3	M-VADER: A Model for Diffusion with Multimodal Context
citation	248476411	254246343	18	Images Speak in Images: A Generalist Painter for In-Context Visual Learning
citation	248476411	254246917	1	I2MVFormer: Large Language Model Generated Multi-View Document Supervision for Zero-Shot Image Classification
citation	248476411	257557354	0	Location-Aware Self-Supervised Transformers for Semantic Segmentation
citation	248476411	254246957	5	PartSLIP: Low-Shot Part Segmentation for 3D Point Clouds via Pretrained Image-Language Models
citation	248476411	254247167	1	Compound Tokens: Channel Fusion for Vision-Language Representation Learning
citation	248476411	254125693	0	Adapted Multimodal BERT with Layer-wise Fusion for Sentiment Analysis
citation	248476411	254125280	43	Scaling Language-Image Pre-training via Masking
citation	248476411	254095850	1	Exploiting Category Names for Few-Shot Classification with Vision-Language Models
citation	248476411	254069670	8	SuS-X: Training-Free Name-Only Transfer of Vision-Language Models
citation	248476411	254044069	20	OpenScene: 3D Scene Understanding with Open Vocabularies
citation	248476411	254017471	0	TPA-Net: Generate A Dataset for Text to Physics-based Animation
citation	248476411	253801518	9	Masked Autoencoding for Scalable and Generalizable Decision Making
citation	248476411	253801830	4	Texts as Images in Prompt Tuning for Multi-Label Image Recognition
citation	248476411	253201801	7	Human Evaluation of Text-to-Image Models on a Multi-Task Benchmark
citation	248476411	253734247	7	Multitask Vision-Language Prompt Tuning
citation	248476411	253734315	12	Robotic Skill Acquisition via Instruction Augmentation with Vision-Language Models
citation	248476411	253734891	9	Improving Multimodal Interactive Agents with Reinforcement Learning from Human Feedback
citation	248476411	253734458	3	ArtELingo: A Million Emotion Annotations of WikiArt with Emphasis on Diversity over Language and Culture
citation	248476411	253708136	3	Task Residual for Tuning Vision-Language Models
citation	248476411	253734854	17	Visual Programming: Compositional visual reasoning without training
citation	248476411	253581325	11	Uni-Perceiver v2: A Generalist Model for Large-Scale Vision and Vision-Language Tasks
citation	248476411	253581213	146	InstructPix2Pix: Learning to Follow Image Editing Instructions
citation	248476411	253581816	8	UniFormerV2: Spatiotemporal Learning by Arming Image ViTs with Video UniFormer
citation	248476411	253553203	117	Galactica: A Large Language Model for Science
citation	248476411	253523156	2	General intelligence requires rethinking exploration
citation	248476411	253581319	19	PromptCap: Prompt-Guided Task-Aware Image Captioning
citation	248476411	253761141	5	NEVIS'22: A Stream of 100 Tasks Sampled from 30 Years of Computer Vision Research
citation	248476411	253510741	0	Metaphors We Learn By
citation	248476411	253446964	0	Towards Reasoning-Aware Explainable VQA
citation	248476411	253397751	1	Astronomia ex machina: a history, primer and outlook on neural networks in astronomy
citation	248476411	253447381	1	Okapi: Generalising Better by Making Statistical Matches Match
citation	248476411	253370488	3	Understanding and Mitigating Overfitting in Prompt Tuning for Vision-Language Models
citation	248476411	253370739	0	A General Purpose Neural Architecture for Geospatial Systems
citation	248476411	253244224	2	Training Vision-Language Models with Less Bimodal Supervision
citation	248476411	253157926	10	Open-vocabulary Semantic Segmentation with Frozen Vision-Language Models
citation	248476411	253000510	1	Visualizing the Obvious: A Concreteness-based Ensemble Model for Noun Property Prediction
citation	248476411	256416540	0	Towards Better Few-Shot and Finetuning Performance with Forgetful Causal Language Models
citation	248476411	253098783	5	Z-LaVI: Zero-Shot Language Solver Fueled by Visual Imagination
citation	248476411	252992550	6	On the Feasibility of Cross-Task Transfer with Model-Based Reinforcement Learning
citation	248476411	252992861	1	Extending Graph Transformers with Quantum Computed Aggregation
citation	248476411	252917871	5	Non-Contrastive Learning Meets Language-Image Pre-Training
citation	248476411	252917791	17	Plug-and-Play VQA: Zero-shot VQA by Conjoining Large Pretrained Models with Zero Training
citation	248476411	252917726	411	LAION-5B: An open large-scale dataset for training next generation image-text models
citation	248476411	252907639	3	Plausible May Not Be Faithful: Probing Object Hallucination in Vision-Language Pre-training
citation	248476411	252907411	8	SQA3D: Situated Question Answering in 3D Scenes
citation	248476411	252873086	10	MAPL: Parameter-Efficient Adaptation of Unimodal Pre-Trained Models for Vision-Language Few-Shot Prompting
citation	248476411	252873591	8	Retrospectives on the Embodied AI Workshop
citation	248476411	252907909	2	AMP: Automatically Finding Model Parallel Strategies with Heterogeneity Awareness
citation	248476411	252846090	25	Interactive Language: Talking to Robots in Real Time
citation	248476411	252846643	0	One does not fit all! On the Complementarity of Vision Encoders for Vision and Language Tasks
citation	248476411	252782924	2	Dynamic Spatio-Temporal Modular Network for Video Question Answering
citation	248476411	252782099	0	Multi-modal Learning Algorithms and Network Architectures for Information Extraction and Retrieval
citation	248476411	252735175	46	VIMA: General Robot Manipulation with Multimodal Prompts
citation	248476411	257505592	1	Bayesian Prompt Learning for Image-Language Model Generalization
citation	248476411	252734947	32	When and why vision-language models behave like bags-of-words, and what to do about it?
citation	248476411	257913286	1	LASP: Text-to-Text Optimization for Language-Aware Soft Prompting of Vision&Language Models
citation	248476411	252683285	1	Zemi: Learning Zero-Shot Semi-Parametric Language Models from Multiple Tasks
citation	248476411	252668517	5	Where Should I Spend My FLOPS? Efficiency Evaluations of Visual Pre-training Methods
citation	248476411	252668479	16	Linearly Mapping from Image to Text Space
citation	248476411	252683120	0	CEREAL: Few-Sample Clustering Evaluation
citation	248476411	252668790	6	SmallCap: Lightweight Image Captioning Prompted with Retrieval Augmentation
citation	248476411	258236742	1	State-specific protein-ligand complex structure prediction with a multi-scale deep generative model
citation	248476411	252595735	4	Spotlight: Mobile UI Understanding using Vision-Language Models with a Focus
citation	248476411	252595675	1	REST: REtrieve & Self-Train for generative action recognition
citation	248476411	252596065	2	A Multi-Agent Framework for the Asynchronous and Collaborative Extension of Multitask ML Systems
citation	248476411	252683098	7	Scaling Laws for a Multi-Agent Reinforcement Learning Model
citation	248476411	252438945	15	Learning Model Predictive Controllers with Real-Time Attention for Real-World Navigation
citation	248476411	252531314	1	A Case Report On The "A.I. Locked-In Problem": social concerns with modern NLP
citation	248476411	252367445	9	Enabling Conversational Interaction with Mobile UI using Large Language Models
citation	248476411	252367909	0	Selective Token Generation for Few-shot Natural Language Generation
citation	248476411	252283985	41	OmniVL: One Foundation Model for Image-Language and Video-Language Tasks
citation	248476411	256847032	0	Does CLIP Know My Face?
citation	248476411	252222320	120	PaLI: A Jointly-Scaled Multilingual Language-Image Model
citation	248476411	257255497	1	Correlation Information Bottleneck: Towards Adapting Pretrained Multimodal Models for Robust Visual Question Answering
citation	248476411	252211995	1	Visual Recipe Flow: A Dataset for Learning Visual State Changes of Objects with Recipe Flows
citation	248476411	252211798	9	PreSTU: Pre-Training for Scene-Text Understanding
citation	248476411	257037994	1	MaXM: Towards Multilingual Visual Question Answering
citation	248476411	252198880	8	On The Computational Complexity of Self-Attention
citation	248476411	252118430	6	FETA: Towards Specializing Foundation Models for Expert Task Applications
citation	248476411	257038528	1	Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions
citation	248476411	252089100	7	RLIP: Relational Language-Image Pre-training for Human-Object Interaction Detection
citation	248476411	251953550	0	Injecting Image Details into CLIP's Feature Space
citation	248476411	251929296	46	Faithful Reasoning Using Large Language Models
citation	248476411	251903171	9	Efficient Vision-Language Pretraining with Visual Concepts and Hierarchical Alignment
citation	248476411	253802177	2	Improving Standard Transformer Models for 3D Point Cloud Understanding with Image Pretraining
citation	248476411	251741235	1	VILT: Video Instructions Linking for Complex Tasks
citation	248476411	251741496	0	Learning More May Not Be Better: Knowledge Transferability in Vision and Language Tasks
citation	248476411	251719655	231	Image as a Foreign Language: BEiT Pretraining for All Vision and Vision-Language Tasks
citation	248476411	251643511	10	Discovering Bugs in Vision Models using Off-the-shelf Image Generation and Captioning
