query	53 references	8595 citations	Show, Attend and Tell: Neural Image Caption Generation with Visual Attention
citation	1055111	255096479	1	Multi-Projection Fusion and Refinement Network for Salient Object Detection in 360° Omnidirectional Image
citation	1055111	255096283	4	Do DALL-E and Flamingo Understand Each Other?
citation	1055111	255081257	1	HSCA-Net: A Hybrid Spatial-Channel Attention Network in Multi-Scale Feature Pyramid for Document Layout Analysis
citation	1055111	254877746	3	Does CLIP Bind Concepts? Probing Compositionality in Large Image Models
citation	1055111	254926953	0	Cooperative Flight Control Using Visual-Attention - Air-Guardian
citation	1055111	254877175	15	A Survey of Deep Learning for Mathematical Reasoning
citation	1055111	254877727	3	Causal Inference for Knowledge Graph based Recommendation
citation	1055111	254904999	0	Layer-wise enhanced transformer with multi-modal fusion for image caption
citation	1055111	256315090	0	Improving Radiology Report Generation via Object Dropout Strategy and MLP-based Captioner
citation	1055111	254735536	0	NumCap: A Number-controlled Multi-caption Image Captioning Network
citation	1055111	257082825	0	Hard Contrastive Learning for Video Captioning
citation	1055111	254636505	0	Design-time Fashion Popularity Forecasting in VR Environments
citation	1055111	254715720	2	Topic-aware hierarchical multi-attention network for text classification
citation	1055111	255994913	0	Dual-stream Self-attention Network for Image Captioning
citation	1055111	254678801	1	Evaluating eXplainable artificial intelligence tools for hard disk drive predictive maintenance
citation	1055111	254591182	1	ScanEnts3D: Exploiting Phrase-to-3D-Object Correspondences for Improved Visio-Linguistic Models in 3D Scenes
citation	1055111	254563882	0	CLIP-TSA: CLIP-Assisted Temporal Self-Attention for Weakly-Supervised Video Anomaly Detection
citation	1055111	254525679	0	SAdaBoundNc: an adaptive subgradient online learning algorithm with logarithmic regret bounds
citation	1055111	259029108	0	Context Encoder Network with Channel-Wise Attention Mechanism for Nerve Fibers Detection in Corneal Confocal Microscopy Images
citation	1055111	254535944	0	Modularity through Attention: Efficient Training and Transfer of Language-Conditioned Policies for Robot Manipulation
citation	1055111	257102313	0	A Flexible Nadaraya-Watson Head Can Offer Explainable and Calibrated Classification
citation	1055111	255180125	0	A Deep Reinforcement Learning Approach for Crowdshipping Vehicle Routing Problem
citation	1055111	254275009	2	Switching to Discriminative Image Captioning by Relieving a Bottleneck of Reinforcement Learning
citation	1055111	254275325	0	Genetic Sequence compression using Machine Learning and Arithmetic Encoding Decoding Techniques
citation	1055111	254275438	4	Semantic-Conditional Diffusion Networks for Image Captioning
citation	1055111	254275267	0	Document-Level Abstractive Summarization
citation	1055111	255403917	0	Few-Shot Radiology Report Generation via Knowledge Transfer and Multi-modal Alignment
citation	1055111	255417861	0	Clinically Coherent Radiology Report Generation with Imbalanced Chest X-rays
citation	1055111	255418447	0	An Offline Assistance Tool for Visually Impaired People Based on Image Captioning
citation	1055111	255597545	0	Attentive Knowledge Transfer for Short-term Load Forecasting
citation	1055111	255600150	0	ChannelFed: Enabling Personalized Federated Learning via Localized Channel Attention
citation	1055111	254247200	2	Generalizing Multiple Object Tracking to Unseen Domains by Introducing Natural Language Representation
citation	1055111	256851695	1	Active Perception for Visual-Language Navigation
citation	1055111	257786028	0	Sparse Attribute Network Representation Learning Method
citation	1055111	254246894	0	Convolution, aggregation and attention based deep neural networks for accelerating simulations in mechanics
citation	1055111	254806374	2	Approximating global illumination with ambient occlusion and environment light via generative adversarial networks
citation	1055111	255036311	0	Uncertainty-Aware Scene Graph Generation
citation	1055111	255042422	0	RCA-CycleGAN: Unsupervised underwater image enhancement using Red Channel attention optimized CycleGAN
citation	1055111	255331590	1	Dysarthria severity classification using multi-head attention and multi-task learning
citation	1055111	255362290	0	Exploring visual relationship for social media popularity prediction
citation	1055111	252571173	1	Prediction of mechanical behavior of rocks with strong strain-softening effects by a deep-learning approach
citation	1055111	246578418	5	Multichannel Spatio-Temporal Feature Fusion Method for NILM
citation	1055111	254097189	1	Dual Scene Graph Convolutional Network for Motivation Prediction
citation	1055111	254100391	1	Computer-aided diagnosis through medical image retrieval in radiology
citation	1055111	254125448	0	Multilingual Communication System with Deaf Individuals Utilizing Natural and Visual Languages
citation	1055111	254220860	0	Focus! Relevant and Sufficient Context Selection for News Image Captioning
citation	1055111	251378057	0	BR-GAN: A Pedestrian Trajectory Prediction Model Combined With Behavior Recognition
citation	1055111	252426946	0	Causal Temporal–Spatial Pedestrian Trajectory Prediction With Goal Point Estimation and Contextual Interaction
citation	1055111	240449346	6	A Spatiotemporal Bidirectional Attention-Based Ride-Hailing Demand Prediction Model: A Case Study in Beijing During COVID-19
citation	1055111	238866499	0	Partially Recurrent Network With Highway Connections
citation	1055111	247643181	8	CapsGaNet: Deep Neural Network Based on Capsule and GRU for Human Activity Recognition
citation	1055111	254529873	0	Trustworthy Breast Ultrasound Image Semantic Segmentation Based on Fuzzy Uncertainty Reduction
citation	1055111	254517079	2	Interpretable and Predictive Deep Neural Network Modeling of the SARS-CoV-2 Spike Protein Sequence to Predict COVID-19 Disease Severity
citation	1055111	251429643	1	Real-Time Driver Behavior Detection Based on Deep Deformable Inverted Residual Network With an Attention Mechanism for Human-Vehicle Co-Driving System
citation	1055111	254616336	0	AWANet: Attentive-Aware Wide-Kernels Asymmetrical Network with Blended Contour Information for Salient Object Detection
citation	1055111	255265563	0	Network Security Situation Prediction Implemented by Attention and BiLSTM
citation	1055111	255268091	0	Exploring adaptive attention in memory transformer applied to coherent video paragraph captioning
citation	1055111	253901197	0	Calculation of Photoionization Rates During Streamer Discharge Using Neural Networks
citation	1055111	255522513	0	An Image captioning algorithm based on the Hybrid Deep Learning Technique (CNN+GRU)
citation	1055111	255997084	0	A Comparative Study on Optimizers for Automatic Image Captioning
citation	1055111	257408478	0	Relation-Aware Image Captioning for Explainable Visual Question Answering
citation	1055111	257720950	0	Learning Dynamic Behavior Patterns for Fraud Detection
citation	1055111	257809132	0	Deep Spatio-Temporal Residual Shrinkage Networks for Traffic Prediction
citation	1055111	257809709	0	TB-Transformer: Integrating Mouse Trace with Object Bounding-box for Image Caption
citation	1055111	258010281	0	A object detection method based on attention mechanism and reinforcement learning
citation	1055111	258136639	0	A Gait Recognition Network With Attention-GaitNet
citation	1055111	258789339	0	Improved Topic-bound Caption Generation with VGG-19, Batch Normalization, and Subword-based Tokenization
citation	1055111	254096325	0	Uncertainty-Aware Image Captioning
citation	1055111	254096441	0	Progressive Knowledge Transfer Based on Human Visual Perception Mechanism for Perceptual Quality Assessment of Point Clouds
citation	1055111	255285642	1	Synthetic Data Generation and Shuffled Multi-Round Training Based Offline Handwritten Mathematical Expression Recognition
citation	1055111	256662420	0	KENGIC: KEyword-driven and N-Gram Graph based Image Captioning
citation	1055111	256744262	0	A Hybrid Vision Transformer Approach for Mathematical Expression Recognition
citation	1055111	254069453	0	An Extreme-Adaptive Time Series Prediction Model Based on Probability-Enhanced LSTM Neural Networks
citation	1055111	254020530	0	Cardiovascular magnetic resonance images with susceptibility artifacts: artificial intelligence with spatial-attention for ventricular volumes and mass assessment
citation	1055111	254043934	1	CLIP2GAN: Towards Bridging Text with the Latent Space of GANs
citation	1055111	254042631	0	An effective spatial relational reasoning networks for visual question answering
citation	1055111	254121815	2	A Survey of Current Machine Learning Approaches to Student Free-Text Evaluation for Intelligent Tutoring
citation	1055111	255850487	0	Generating X-ray Reports Using Global Attention
citation	1055111	254120023	0	A transformer‐based end‐to‐end data‐driven model for multisensor time series monitoring of machine tool condition
citation	1055111	254043927	0	Conditioning Covert Geo-Location (CGL) Detection on Semantic Class Information
citation	1055111	254044466	0	CLID: Controlled-Length Image Descriptions with Limited Data
citation	1055111	254018146	5	ComCLIP: Training-Free Compositional Image and Text Matching
citation	1055111	257261599	0	Engagement measurement of a learner during e-learning: A deep learning architecture
citation	1055111	253925539	0	A two-stage enhancement network with optimized effective receptive field for speckle image reconstruction
citation	1055111	253761414	0	A Short Survey of Systematic Generalization
citation	1055111	253828769	0	Separate Syntax and Semantics: Part-of-Speech-Guided Transformer for Image Captioning
citation	1055111	253734525	0	ClipCrop: Conditioned Cropping Driven by Vision-Language Model
citation	1055111	253735413	6	Exploring Discrete Diffusion Models for Image Captioning
citation	1055111	255267476	0	An Image Caption Model Based on the Scene Graph and Semantic Prior Network
citation	1055111	253734818	1	How to Describe Images in a More Funny Way? Towards a Modular Approach to Cross-Modal Sarcasm Generation
citation	1055111	253734458	3	ArtELingo: A Million Emotion Annotations of WikiArt with Emphasis on Diversity over Language and Culture
citation	1055111	253707836	3	Vision Transformers in Medical Imaging: A Review
citation	1055111	253764007	2	Contextual and selective attention networks for image captioning
citation	1055111	253786272	0	Explainable-AI in Automated Medical Report Generation Using Chest X-ray Images
citation	1055111	253581370	1	CapEnrich: Enriching Caption Semantics for Web Images via Cross-modal Pre-trained Knowledge
citation	1055111	253622375	0	Learning-Based Ordering Characters on Ancient Document
citation	1055111	258834584	0	Multi-Scale Features Integration for Handwritten Mathematical Expression Recognition
citation	1055111	253553494	3	AdaMAE: Adaptive Masking for Efficient Spatiotemporal Learning with Masked Autoencoders
citation	1055111	253553771	0	AdaTriplet-RA: Domain Matching via Adaptive Triplet and Reinforced Attention for Unsupervised Domain Adaptation
citation	1055111	255265500	0	A complete human verified Turkish caption dataset for MS COCO and performance evaluation with well-known image caption models trained against it
citation	1055111	253162333	2	MapQA: A Dataset for Question Answering on Choropleth Maps
citation	1055111	246732706	1	Data-Correlation-Aware Unsupervised Deep-Learning Model for Anomaly Detection in Cyber–Physical Systems
citation	1055111	253511219	1	Zero-shot Image Captioning by Anchor-augmented Vision-Language Space Alignment
citation	1055111	253546123	0	Guide and interact: scene-graph based generation and control of video captions
citation	1055111	252819241	1	DeltaNet: Conditional Medical Report Generation for COVID-19 Diagnosis
citation	1055111	253463182	0	A novel Multi-Layer Attention Framework for visual description prediction using bidirectional LSTM
citation	1055111	253446917	2	Reliable Extraction of Semantic Information and Rate of Innovation Estimation for Graph Signals
citation	1055111	253446846	0	VieCap4H-VLSP 2021: ObjectAoA - Enhancing performance of Object Relation Transformer with Attention on Attention for Vietnamese image captioning
citation	1055111	255267908	0	Logic-Based Neural Network for Pattern Correction
citation	1055111	254407743	0	A low-cost driving risk prediction system for hilly roads via surveillance cameras and onsite webcams: poster abstract
citation	1055111	253420515	0	Interpretable Deep Reinforcement Learning for Green Security Games with Real-Time Information
citation	1055111	253432584	0	A survey on syntactic processing techniques
citation	1055111	253385643	4	The power of prediction: microservice auto scaling via workload learning
citation	1055111	254931001	1	FeatureCut: An Adaptive Data Augmentation for Automated Audio Captioning
citation	1055111	253383773	1	Bridging Speech and Textual Pre-trained Models with Unsupervised ASR
citation	1055111	256195096	2	Real-Time Tracking of Smartwatch Orientation and Location by Multitask Learning
citation	1055111	254098525	0	ThaiTC:Thai Transformer-based Image Captioning
citation	1055111	253364200	0	Learning controlled and targeted communication with the centralized critic for the multi-agent system
citation	1055111	253359148	0	Explainable machine learning in cybersecurity: A survey
citation	1055111	253254835	2	Processing Long Legal Documents with Pre-trained Transformers: Modding LegalBERT and Longformer
citation	1055111	253255247	0	Fair Visual Recognition via Intervention with Proxy Features
citation	1055111	253314274	0	Improving Medical X-ray Report Generation by Using Knowledge Graph
citation	1055111	253324320	5	Prediction of state of health and remaining useful life of lithium-ion battery using graph convolutional network with dual attention mechanisms
citation	1055111	253327315	1	Describe like a pathologist: Glomerular immunofluorescence image caption based on hierarchical feature fusion attention network
citation	1055111	253905588	1	Modeling graph-structured contexts for image captioning
citation	1055111	249526914	4	Self-Attention-Based Machine Theory of Mind for Electric Vehicle Charging Demand Forecast
citation	1055111	250504385	0	Knowledge-Based Visual Question Generation
citation	1055111	253186597	4	Double-Stream Position Learning Transformer Network for Image Captioning
citation	1055111	253265445	0	CheXPrune: sparse chest X-ray report generation model using multi-attention and one-shot global pruning
citation	1055111	248634766	10	Cycle-SNSPGAN: Towards Real-World Image Dehazing via Cycle Spectral Normalized Soft Likelihood Estimation Patch GAN
citation	1055111	253492801	2	An attention-based stacked BiLSTM framework for predicting remaining useful life of rolling bearings
citation	1055111	256463088	0	FineFormer: Fine-Grained Adaptive Object Transformer for Image Captioning
citation	1055111	256660451	0	A New Design of VQA System based on Weighted Contextual Features
citation	1055111	258327885	0	A Survey of pet Action Recognition with action Recommendation based on HAR
citation	1055111	253523304	0	Revisiting Attention Weights as Explanations from an Information Theoretic Perspective
citation	1055111	256033858	0	A Multi-scale Approach for Vietnamese Image Captioning in Healthcare Domain
citation	1055111	253241616	1	An intelligent approach to automatically discovering visual insights
citation	1055111	253229681	0	Network Construction for Bearing Fault Diagnosis Based on Double Attention Mechanism
citation	1055111	253276374	0	Chinese Named Entity Recognition Based on BERT and Lightweight Feature Extraction Model
citation	1055111	254298536	0	Classification of Pathological Images of Skin Diseases Based on Deep Learning
citation	1055111	255266058	0	OVLN: Object-aware Vision and Language Navigation for Domestic Robots
citation	1055111	253157882	4	Masked Vision-language Transformer in Fashion
citation	1055111	253157826	2	Explaining the Explainers in Graph Neural Networks: a Comparative Study
citation	1055111	253224221	3	Layer-wise Shared Attention Network on Dynamical System Perspective
citation	1055111	253116724	5	Bloom Library: Multimodal Datasets in 300+ Languages for a Variety of Downstream Tasks
citation	1055111	253100257	2	Understanding the role of eye movement consistency in face recognition and autism through integrating deep neural networks and hidden Markov models
citation	1055111	253107575	1	GliTr: Glimpse Transformers with Spatiotemporal Consistency for Online Action Prediction
citation	1055111	255178715	1	Pedestrian Intention Prediction Based on Traffic-Aware Scene Graph Model
citation	1055111	255569865	0	Generating Accurate and Faithful Discharge Instructions: Task, Dataset, and Model
citation	1055111	253098668	0	Tools for Extracting Spatio-Temporal Patterns in Meteorological Image Sequences: From Feature Engineering to Attention-Based Neural Networks
citation	1055111	253112766	2	Hybrid of Deep Learning and Word Embedding in Generating Captions: Image-Captioning Solution for Geological Rock Images
citation	1055111	253080390	0	Describing Sets of Images with Textual-PCA
citation	1055111	254154463	0	Brain-inspired Hierarchical Attention Recurrent CNN for Image Classification
citation	1055111	253020083	1	MsRAN: a multi-scale residual attention network for multi-model image fusion
citation	1055111	252992894	0	Hierarchical Multi-Interest Co-Network For Coarse-Grained Ranking
citation	1055111	253031709	1	A Detection Model for Cucumber Root-Knot Nematodes Based on Modified YOLOv5-CMS
citation	1055111	258060164	0	Prophet Attention: Predicting Attention with Future Attention for Image Captioning
citation	1055111	252967948	0	Probing Cross-modal Semantics Alignment Capability from the Textual Perspective
citation	1055111	253804030	0	Transformer Approaches in Image Captioning: A Literature Review
citation	1055111	253880853	0	Cross-Linguistic Study on Affective Impression and Language for Visual Art Using Neural Speaker
citation	1055111	252918583	1	Weakly Supervised Face Naming with Symmetry-Enhanced Contrastive Loss
citation	1055111	252904698	3	Target Interest Distillation for Multi-Interest Recommendation
citation	1055111	254100830	0	Saliency detection from subitizing processing: First Approximation
citation	1055111	254460726	0	Chip-SAGAN: A Self-Attention Generative Adversarial Network for Chinese Ink Wash Painting Style Transfer
citation	1055111	253334497	0	Optics Lens Design for Privacy-Preserving Scene Captioning
citation	1055111	252917726	411	LAION-5B: An open large-scale dataset for training next generation image-text models
citation	1055111	253348331	2	Attribute Conditioned Fashion Image Captioning
citation	1055111	253320569	1	GCN-Based Multi-Modal Multi-Label Attribute Classification in Anime Illustration Using Domain-Specific Semantic Features
citation	1055111	253346884	0	CSTNET: Enhancing Global-To-Local Interactions for Image Captioning
citation	1055111	252917719	26	Toward Next-Generation Artificial Intelligence: Catalyzing the NeuroAI Revolution
citation	1055111	252959598	2	Modelling Human Word Learning and Recognition Using Visually Grounded Speech
citation	1055111	252898825	4	InFi: end-to-end learnable input filter for resource-efficient mobile-centric inference
citation	1055111	252905461	0	LssDet: A Lightweight Deep Learning Detector for SAR Ship Detection in High-Resolution SAR Images
citation	1055111	252907316	0	Not All Neighbors Are Worth Attending to: Graph Selective Attention Networks for Semi-supervised Learning
citation	1055111	252903773	4	ICSDA: a multi-modal deep learning model to predict breast cancer recurrence and metastasis risk by integrating pathological, clinical and gene expression data
citation	1055111	252873056	0	Few-Shot Visual Question Generation: A Novel Task and Benchmark Datasets
citation	1055111	252846468	11	Multi-Granularity Cross-modal Alignment for Generalized Medical Visual Representation Learning
citation	1055111	252891366	0	Improvement of attention modules for image captioning using pixel-wise semantic information
citation	1055111	252889991	0	When Research Topic Trend Prediction Meets Fact-Based Annotations
citation	1055111	252815401	1	APSNet: Attention Based Point Cloud Sampling
citation	1055111	252815973	0	Like a bilingual baby: The advantage of visually grounding a bilingual language model
citation	1055111	252782929	1	Caption-Aware Medical VQA via Semantic Focusing and Progressive Cross-Modality Comprehension
citation	1055111	252521938	2	Effective Multimodal Encoding for Image Paragraph Captioning
citation	1055111	252780170	3	CLIP-Diffusion-LM: Apply Diffusion Model on Image Captioning
citation	1055111	252780391	1	Generating image captions with external encyclopedic knowledge
citation	1055111	252782545	1	Multi-Level Region Matching for Fine-Grained Sketch-Based Image Retrieval
citation	1055111	252782393	3	Point to Rectangle Matching for Image Text Retrieval
citation	1055111	252782891	3	A Tree-Based Structure-Aware Transformer Decoder for Image-To-Markup Generation
citation	1055111	252783048	0	Title-and-Tag Contrastive Vision-and-Language Transformer for Social Media Popularity Prediction
citation	1055111	252783135	2	Unsupervised and Pseudo-Supervised Vision-Language Alignment in Visual Dialog
citation	1055111	252782111	3	Progressive Tree-Structured Prototype Network for End-to-End Image Captioning
citation	1055111	252782266	1	Non-Autoregressive Cross-Modal Coherence Modelling
citation	1055111	252783053	1	Image-Text Matching with Fine-Grained Relational Dependency and Bidirectional Attention-Based Generative Networks
citation	1055111	252782744	0	Understanding News Text and Images Connection with Context-enriched Multimodal Transformers
citation	1055111	252783008	1	Robust Multimodal Depth Estimation using Transformer based Generative Adversarial Networks
citation	1055111	255441409	0	B-AIS: An Automated Process for Black-box Evaluation of Visual Perception in AI-enabled Software against Domain Semantics
citation	1055111	255996110	0	A More Efficient Approach for Pedestrian Attribute Recognition
citation	1055111	252840716	0	Multi-feature fusion enhanced transformer with multi-layer fused decoding for image captioning
citation	1055111	252780138	1	Fine-grained Anomaly Detection in Sequential Data via Counterfactual Explanations
citation	1055111	253629797	0	BSAM: Research on image-text matching method based on Bert and self-attention mechanism
citation	1055111	253630820	0	Interpretable Navigation Agents Using Attention-Augmented Memory
citation	1055111	252781099	1	Contextual Modeling for 3D Dense Captioning on Point Clouds
citation	1055111	252780197	0	Learning Fine-Grained Visual Understanding for Video Question Answering via Decoupling Spatial-Temporal Modeling
citation	1055111	252762637	2	Quantitative Metrics for Evaluating Explanations of Video DeepFake Detectors
citation	1055111	252780373	3	LOCL: Learning Object-Attribute Composition using Localization
citation	1055111	252992954	2	CLEAR: Causal Explanations from Attention in Neural Recommenders
citation	1055111	252735120	0	Improved Anomaly Detection by Using the Attention-Based Isolation Forest
citation	1055111	252735204	5	AOE-Net: Entities Interactions Modeling with Adaptive Attention Mechanism for Temporal Action Proposals Generation
citation	1055111	252735117	1	Vision+X: A Survey on Multimodal Learning in the Light of Data
citation	1055111	252693009	1	Learning to Collocate Visual-Linguistic Neural Modules for Image Captioning
citation	1055111	252715427	1	Affection: Learning Affective Explanations for Real-World Visual Data
citation	1055111	253423925	0	Multi-view Attention with Memory Assistant for Image Captioning
citation	1055111	252690658	1	ST-AGRNN: A Spatio-Temporal Attention-Gated Recurrent Neural Network for Traffic State Forecasting
citation	1055111	254498343	0	Effortless and beneficial processing of natural languages using transformers
citation	1055111	252684008	0	Music-to-Text Synaesthesia: Generating Descriptive Text from Music Recordings
citation	1055111	248905984	5	Spatial-Temporal Based Multihead Self-Attention for Remote Sensing Image Change Detection
citation	1055111	258068271	0	Lightweight Transformer with GRU Integrated Decoder for Image Captioning
citation	1055111	251205472	2	FloorplanGAN: Vector residential floorplan adversarial generation
citation	1055111	226487932	2	Deep Convolutional Neural Network Based Medical Concept Normalization
citation	1055111	245781800	14	Triple Cross-Domain Attention on Human Activity Recognition Using Wearable Sensors
citation	1055111	249220818	4	Vision-Enhanced and Consensus-Aware Transformer for Image Captioning
citation	1055111	252813229	1	Interpreting sarcasm on social media using attention-based neural networks
citation	1055111	252837171	1	RadioBERT: A deep learning-based system for medical report generation from chest X-ray images using contextual embeddings
citation	1055111	252840857	2	Skin Lesion Classification on Imbalanced Data Using Deep Learning with Soft Attention
citation	1055111	248170127	1	Action-State Joint Learning-Based Vehicle Taillight Recognition in Diverse Actual Traffic Scenes
citation	1055111	249291298	4	Detecting Marine Organisms Via Joint Attention-Relation Learning for Marine Video Surveillance
citation	1055111	252883197	0	DEAU-Net: Attention networks based on dual encoder for Medical Image Segmentation
citation	1055111	252989633	0	Attentive differential convolutional neural networks for crowd flow prediction
citation	1055111	253005739	1	ArCo: Attention-reinforced transformer with contrastive learning for image captioning
citation	1055111	253060167	0	Position-guided transformer for image captioning
citation	1055111	253068710	3	PredMaX: Predictive maintenance with explainable deep convolutional autoencoders
citation	1055111	253072274	4	Convolutional Long-Short Term Memory Network with Multi-Head Attention Mechanism for Traffic Flow Prediction
citation	1055111	253279843	1	An autoencoder-based feature level fusion for speech emotion recognition
citation	1055111	258066479	0	Predicting and Explaining Hearing Aid Usage Using Encoder-Decoder with Attention Mechanism and SHAP
citation	1055111	258219997	0	Language Driven Image Editing via Transformers
citation	1055111	252646193	0	Research on imaging method of driver's attention area based on deep neural network
citation	1055111	252668790	6	SmallCap: Lightweight Image Captioning Prompted with Retrieval Augmentation
citation	1055111	252683237	5	MaskTune: Mitigating Spurious Correlations by Forcing to Explore
citation	1055111	252768930	0	Image-Caption Model Based on Fusion Feature
citation	1055111	252887122	0	Channel attention convolutional recurrent neural network on street view symbol recognition
citation	1055111	252567837	2	Medical image captioning via generative pretrained transformers
citation	1055111	252567841	0	InFi: End-to-End Learning to Filter Input for Resource-Efficiency in Mobile-Centric Inference
citation	1055111	252641259	12	Improving Performance of Breast Lesion Classification Using a ResNet50 Model Optimized with a Novel Attention Mechanism
citation	1055111	252576011	0	The Family of Onion Convolutions for Image Inpainting
citation	1055111	252369179	1	RepsNet: Combining Vision with Language for Automated Medical Reports
citation	1055111	252636483	1	Traffic Flow Prediction with Attention Mechanism Based on TS-NAS
citation	1055111	252846488	0	Multimodality Multi-Lead ECG Arrhythmia Classification using Self-Supervised Learning
citation	1055111	254121892	0	MPSHT: Multiple Progressive Sampling Hybrid Model Multi-Organ Segmentation
citation	1055111	252507625	3	Affordance embeddings for situated language understanding
citation	1055111	252519439	6	Semantic scene descriptions as an objective of human vision
citation	1055111	253424246	0	Underwater Target Detection Based On Modified YOLOv5
citation	1055111	253803769	0	A Survey of Image Caption Tasks
citation	1055111	253803633	0	A Survey of Deep learning-based Image caption
citation	1055111	252439240	1	DRAMA: Joint Risk Localization and Captioning in Driving
citation	1055111	252437765	2	Improving language model of human genome for DNA–protein binding prediction based on task-specific pre-training
citation	1055111	252407476	2	Show, Interpret and Tell: Entity-aware Contextualised Image Captioning in Wikipedia
citation	1055111	252456246	0	Construction and Application Research of the Visual Image Obstacle Type Recognition Model Based on the Computer-Expanded Convolutional Neural Network
citation	1055111	252507697	3	ACF: An Armed CCTV Footage Dataset for Enhancing Weapon Detection
citation	1055111	252449039	0	Input enhanced asymmetric transformer for image captioning
citation	1055111	252383199	0	Active Particle Filter Networks: Efficient Active Localization in Continuous Action Spaces and Large Maps
citation	1055111	252356662	1	A scalable species-based genetic algorithm for reinforcement learning problems
citation	1055111	251946798	1	Accelerating Neural Network Inference With Processing-in-DRAM: From the Edge to the Cloud
citation	1055111	252216566	1	Dual Attentional Higher Order Factorization Machines
citation	1055111	252364033	0	Caption Generation Based on Emotions Using CSPDenseNet and BiLSTM with Self-Attention
citation	1055111	252367787	3	Learning Distinct and Representative Modes for Image Captioning
citation	1055111	252361466	1	Automatic captioning for medical imaging (MIC): a rapid review of literature
citation	1055111	254096996	2	Open-ended remote sensing visual question answering with transformers
citation	1055111	252368295	1	Belief Revision Based Caption Re-ranker with Visual Semantic Information
citation	1055111	252345354	2	A holistic approach for image-to-graph: application to optical music recognition
citation	1055111	252344571	2	Multilevel attention and relation network based image captioning model
citation	1055111	252280738	1	M^4I: Multi-modal Models Membership Inference
citation	1055111	252322810	0	A Hybrid Model for Commercial Brand Marketing Prediction Based on Multiple Features with Image Processing
citation	1055111	252314738	0	PathGAN: Local path planning with attentive generative adversarial networks
citation	1055111	252324331	0	Visual content generation from textual description using improved adversarial network
citation	1055111	252210688	0	Curiosity-Driven Salient Object Detection With Fragment Attention
citation	1055111	252211715	0	Analysis of Self-Attention Head Diversity for Conformer-based Automatic Speech Recognition
citation	1055111	252212296	7	Vision Transformers for Action Recognition: A Survey
citation	1055111	252191974	0	Rotary transformer for image captioning
citation	1055111	252531182	0	Evaluation of Question Answering Systems: Complexity of judging a natural language
citation	1055111	252124026	2	Review of techniques and models used in optical chemical structure recognition in images and scanned documents
citation	1055111	252118535	5	The neuroconnectionist research programme
citation	1055111	252110828	11	A Weakly Supervised Learning Framework for Salient Object Detection via Hybrid Labels
citation	1055111	257038528	1	Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions
citation	1055111	252110972	1	Parallel and Streaming Wavelet Neural Networks for Classification and Regression under Apache Spark
citation	1055111	252110742	3	RF Fingerprinting Needs Attention: Multi-task Approach for Real-World WiFi and Bluetooth
citation	1055111	252090097	0	Bridging Music and Text with Crowdsourced Music Comments: A Sequence-to-Sequence Framework for Thematic Music Comments Generation
citation	1055111	252089825	6	MMKGR: Multi-hop Multi-modal Knowledge Graph Reasoning
citation	1055111	252089865	0	vieCap4H-VLSP 2021: Vietnamese Image Captioning for Healthcare Domain using Swin Transformer and Attention-based LSTM
citation	1055111	252045797	1	From Pixels to Semantics: Self-Supervised Video Object Segmentation With Multiperspective Feature Mining
citation	1055111	250721440	5	Accurate Channel Prediction Based on Transformer: Making Mobility Negligible
citation	1055111	252021495	2	Multi-Dimensional Attention Based Spatial-Temporal Networks for Traffic Forecasting
citation	1055111	248066723	1	Bridging Video and Text: A Two-Step Polishing Transformer for Video Captioning
citation	1055111	247353013	3	Adaptive Path Selection for Dynamic Image Captioning
citation	1055111	252262812	2	Discriminative speaker embedding with serialized multi-layer multi-head attention
citation	1055111	252219899	2	Temporal patterns selection for All-Cause Mortality prediction in T2D with ANNs
citation	1055111	252224160	1	Unsafe Maneuver Classification From Dashcam Video and GPS/IMU Sensors Using Spatio-Temporal Attention Selector
citation	1055111	252224223	6	Spatial–Temporal Convolutional Model for Urban Crowd Density Prediction Based on Mobile-Phone Signaling Data
citation	1055111	252512783	2	AS-Net: An attention-aware downsampling network for point clouds oriented to classification tasks
citation	1055111	252574390	2	Graph neural network-based visual relationship and multilevel attention for image captioning
citation	1055111	255997150	0	Multi-Relational Pedestrian Trajectory Prediction in Complex Scenes
citation	1055111	257082881	0	End-to-End Object Detection with Location-Sensitive Cues
citation	1055111	257719607	0	Graph Alignment Transformer for More Grounded Image Captioning
citation	1055111	252307267	0	Dynamic gate assignment algorithm based on attentional convolution network
citation	1055111	251905221	0	Research on image content description in Chinese based on fusion of image global and local features
citation	1055111	251942826	1	Attribution rollout: a new way to interpret visual transformer
citation	1055111	251972007	4	H2A2Net: A Hybrid Convolution and Hybrid Resolution Network with Double Attention for Hyperspectral Image Classification
citation	1055111	251888740	0	Hierarchical decoding with latent context for image captioning
citation	1055111	251881356	0	EGFR Mutation Prediction of Lung Biopsy Images using Deep Learning
citation	1055111	252851675	0	Video to Text Summarisation and Timestamp Generation to Detect Important Events
citation	1055111	255995900	0	Correlation between Image and Text from Unstructured Data Using Deep Learning
citation	1055111	251809865	0	Individualized tourism recommendation based on self-attention
citation	1055111	251851865	0	Involvement of the intrinsic functional network of the red nucleus in complex behavioral processing
citation	1055111	251800270	0	gSwin: Gated MLP Vision Model with Hierarchical Structure of Shifted Window
