query	49 references	492 citations	Meshed-Memory Transformer for Image Captioning
citation	219635470	243847892	35	Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation
citation	219635470	244793492	5	Improving image captioning with Pyramid Attention and SC-GAN
citation	219635470	239768222	4	Bangla Image Caption Generation through CNN-Transformer based Encoder-Decoder Network
citation	219635470	244621925	0	RNIC-A retrospect network for image captioning
citation	219635470	239012063	8	Direction Relation Transformer for Image Captioning
citation	219635470	239011865	5	Latent Memory-augmented Graph Transformer for Visual Storytelling
citation	219635470	239011704	33	Unifying Multimodal Transformer for Bi-directional Image and Text Generation
citation	219635470	245802424	2	An Information Multiplexed Encoder-Decoder Network for Image Captioning in Hindi
citation	219635470	239016866	10	Multimodal Dialogue Response Generation
citation	219635470	239017032	2	Self-Annotated Training for Controllable Image Captioning
citation	219635470	239009900	8	Guiding Visual Question Generation
citation	219635470	238582778	9	Semi-Autoregressive Image Captioning
citation	219635470	238419366	7	End-to-End Supermask Pruning: Learning to Prune Image Captioning Models
citation	219635470	238253345	10	Geometry Attention Transformer with Position-aware LSTMs for Image Captioning
citation	219635470	238634504	7	Topic Scene Graph Generation by Attention Distillation from Caption
citation	219635470	239003783	8	SD-Net: joint surgical gesture recognition and skill assessment
citation	219635470	244100442	20	Learning Unsupervised Metaformer for Anomaly Detection
citation	219635470	244127479	46	3DVG-Transformer: Relation Modeling for Visual Grounding on Point Clouds
citation	219635470	244430079	4	Partial Off-policy Learning: Balance Accuracy and Diversity for Human-Oriented Image Captioning
citation	219635470	246558610	2	AESOP: Abstract Encoding of Stories, Objects, and Pictures
citation	219635470	244531602	10	MedSkip: Medical Report Generation Using Skip Connections and Integrated Attention
citation	219635470	238215724	1	Geometry-Entangled Visual Semantic Transformer for Image Captioning
citation	219635470	238198699	5	CIDEr-R: Robust Consensus-based Image Description Evaluation
citation	219635470	237571512	3	Towards Joint Intent Detection and Slot Filling via Higher-order Attention
citation	219635470	237563113	1	Cross modification attention-based deliberation model for image captioning
citation	219635470	236478107	15	Multimodal Incremental Transformer with Visual Grounding for Visual Dialogue Generation
citation	219635470	236478170	20	GoG: Relation-aware Graph-over-Graph Network for Visual Dialog
citation	219635470	237286569	1	An Interpretable Framework for Drug-Target Interaction with Gated Cross Attention
citation	219635470	237532496	4	Label-Attention Transformer with Geometrically Coherent Objects for Image Captioning
citation	219635470	237492247	10	Learning to Ground Visual Objects for Visual Dialog
citation	219635470	240543355	5	Image captioning with adaptive incremental global context attention
citation	219635470	237491998	1	Partially-supervised novel object captioning leveraging context from paired data
citation	219635470	240536776	4	An Attentive Fourier-Augmented Image-Captioning Transformer
citation	219635470	239845359	0	A deep dense captioning framework with joint localization and contextual reasoning
citation	219635470	238862913	8	Decoding Methods in Neural Language Generation: A Survey
citation	219635470	238253369	12	Zero-shot Natural Language Video Localization
citation	219635470	237291550	369	SimVLM: Simple Visual Language Model Pretraining with Weak Supervision
citation	219635470	237278308	17	Auto-Parsing Network for Image Captioning and Visual Question Answering
citation	219635470	237260163	9	Group-based Distinctive Image Captioning with Memory Attention
citation	219635470	237195095	19	X-modaler: A Versatile and High-performance Codebase for Cross-modal Analytics
citation	219635470	236924384	32	Dual Graph Convolutional Networks with Transformer and Curriculum Learning for Image Captioning
citation	219635470	236924276	26	TransRefer3D: Entity-and-Relation Aware Transformer for Fine-Grained 3D Visual Grounding
citation	219635470	236915931	5	Generative image transformer (GIT): unsupervised continuous image generative and transformable model for [123I]FP-CIT SPECT images
citation	219635470	236772372	7	Distributed Attention for Grounded Image Captioning
citation	219635470	236493197	18	ReFormer: The Relational Transformer for Image Captioning
citation	219635470	236428934	11	Boosting Entity-aware Image Captioning with Multi-modal Knowledge Graph
citation	219635470	237247048	0	Saliency based Subject Selection for Diverse Image Captioning
citation	219635470	236318328	12	Class-Incremental Domain Adaptation with Smoothing and Calibration for Surgical Report Generation
citation	219635470	236155195	18	CL4AC: A Contrastive Loss for Audio Captioning
citation	219635470	237597632	15	Attentive Contextual Network for Image Captioning
citation	219635470	244772950	53	From Show to Tell: A Survey on Deep Learning-Based Image Captioning
citation	219635470	235898907	6	Surgical Instruction Generation with Transformers
citation	219635470	235694478	3	Egocentric Image Captioning for Privacy-Preserved Passive Dietary Intake Monitoring
citation	219635470	235308013	6	Global-Attention-Based Neural Networks for Vision Language Intelligence
citation	219635470	235670217	2	Contrastive Semantic Similarity Learning for Image Captioning Evaluation with Intrinsic Auto-encoder
citation	219635470	235669729	5	Unified Questioner Transformer for Descriptive Question Generation in Goal-Oriented Visual Dialogue
citation	219635470	235658160	6	Saying the Unseen: Video Descriptions via Dialog Agents
citation	219635470	235489710	10	TCIC: Theme Concepts Learning Cross Language and Vision for Image Captioning
citation	219635470	235458223	9	Semi-Autoregressive Transformer for Image Captioning
citation	219635470	235435817	3	Kernel Identification Through Transformers
citation	219635470	235422047	37	Contrastive Attention for Automatic Chest X-ray Report Generation
citation	219635470	235368340	262	A Survey of Transformers
citation	219635470	235313922	9	SMURF: SeMantic and linguistic UndeRstanding Fusion for Caption Evaluation via Typicality Analysis
citation	219635470	235313880	5	Learning to Select: A Fully Attentive Approach for Novel Object Captioning
citation	219635470	235298813	10	Context-Aware Graph Inference With Knowledge Distillation for Visual Dialog
citation	219635470	235702714	85	RSTNet: Captioning with Adaptive Attention on Visual and Non-Visual Words
citation	219635470	235703340	14	A Self-boosting Framework for Automated Radiographic Report Generation
citation	219635470	234821262	14	Image captioning in Hindi language using transformer networks
citation	219635470	235097492	0	Validity-Based Sampling and Smoothing Methods for Multiple Reference Image Captioning
citation	219635470	235414966	39	ELSA: Hardware-Software Co-design for Efficient, Lightweight Self-Attention Mechanism in Neural Networks
citation	219635470	235703415	15	Improving OCR-based Image Captioning by Incorporating Geometrical Relationship
citation	219635470	235719012	44	Your “Flamingo” is My “Bird”: Fine-Grained, or Not
citation	219635470	235719338	16	Image Change Captioning by Learning from an Auxiliary Task
citation	219635470	234763111	1	Dependent Multi-Task Learning with Causal Intervention for Image Captioning
citation	219635470	235306184	33	VIVO: Visual Vocabulary Pre-Training for Novel Object Captioning
citation	219635470	235306391	12	Memory-Augmented Image Captioning
citation	219635470	235306635	13	Partially Non-Autoregressive Image Captioning
citation	219635470	234482635	13	Connecting What to Say With Where to Look by Modeling Human Attention Traces
citation	219635470	234341935	2	Matching Visual Features to Hierarchical Semantic Topics for Image Paragraph Captioning
citation	219635470	233864790	4	Exploring Explicit And Implicit Visual Relationships For Image Captioning
citation	219635470	233544304	23	Exploring region relationships implicitly: Image captioning with visual relationship attention
citation	219635470	247779362	1	RelTransformer: A Transformer-Based Long-Tail Visual Relationship Recognition
citation	219635470	233347033	9	Aerial scene understanding in the wild: Multi-scene recognition via prototype-based memory networks
citation	219635470	235077637	1	Pretrained Word Embeddings for Image Captioning
citation	219635470	233307298	8	Detector-Free Weakly Supervised Grounding by Separation
citation	219635470	233231301	1	Continual learning in cross-modal retrieval
citation	219635470	233529437	6	Image captioning via proximal policy optimization
citation	219635470	232428142	14	Learning Domain Adaptation with Model Calibration for Surgical Report Generation in Robotic Surgery
citation	219635470	232380403	8	Describing and Localizing Multiple Changes with Transformers
citation	219635470	232240625	18	Dense Interaction Learning for Video-based Person Re-identification
citation	219635470	233625560	12	A Hindi Image Caption Generation Framework Using Deep Learning
citation	219635470	232168618	16	Iterative Shrinking for Referring Expression Grounding Using Deep Reinforcement Learning
citation	219635470	232135026	60	Causal Attention for Vision-Language Tasks
citation	219635470	235351128	62	VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning
citation	219635470	231979557	18	Progressive Transformer-Based Generation of Radiology Reports
citation	219635470	231951742	348	Conceptual 12M: Pushing Web-Scale Image-Text Pre-Training To Recognize Long-Tail Visual Concepts
citation	219635470	231719581	8	The Role of Syntactic Planning in Compositional Image Captioning
citation	219635470	231698660	3	ECOL-R: Encouraging Copying in Novel Object Captioning with Reinforcement Learning
citation	219635470	231663439	8	Vocabulary-Wide Credit Assignment for Training Image Captioning Models
citation	219635470	231639297	46	ArtEmis: Affective Language for Visual Art
citation	219635470	231632752	103	Dual-Level Collaborative Transformer for Image Captioning
citation	219635470	231627699	1	Exploration of Visual Features and their weighted-additive fusion for Video Captioning
citation	219635470	229152503	78	Improving Image Captioning by Leveraging Intra- and Inter-layer Global Representation in Transformer Network
citation	219635470	228169159	17	Cross-Domain Image Captioning via Cross-Modal Retrieval and Model Adaptation
citation	219635470	231684980	0	Joint Common Sense and Relation Reasoning for Dense Relational Captioning
citation	219635470	227305513	48	Scan2Cap: Context-aware Dense Captioning in RGB-D Scans
citation	219635470	229405361	3	Better Understanding: Stylized Image Captioning with Style Attention and Adversarial Training
citation	219635470	227227779	312	AdaBins: Depth Estimation Using Adaptive Bins
citation	219635470	233992838	2	A Survey on Different Deep Learning Architectures for Image Captioning
citation	219635470	227014514	1	Your "Labrador" is My "Dog": Fine-Grained, or Not
citation	219635470	226307260	689	A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges
citation	219635470	226254547	19	DTGAN: Dual Attention Generative Adversarial Networks for Text-to-Image Generation
citation	219635470	226227108	18	Diverse Image Captioning with Context-Object Split Latent Spaces
citation	219635470	225062212	3	Show and Speak: Directly Synthesize Spoken Description of Images
citation	219635470	224803298	54	Improving Factual Completeness and Consistency of Image-to-Text Radiology Report Generation
citation	219635470	222278395	42	Cross-Modal Relation-Aware Networks for Audio-Visual Event Localization
citation	219635470	222278116	5	VideoTRM: Pre-training for Video Captioning Challenge 2020
citation	219635470	222278188	10	Visual Relation of Interest Detection
citation	219635470	225160988	2	Learn and Tell: Learning Priors for Image Caption Generation
citation	219635470	222125307	270	Contrastive Learning of Medical Visual Representations from Paired Images and Text
citation	219635470	222066574	4	Teacher-Critical Training Strategies for Image Captioning
citation	219635470	221995614	49	VIVO: Surpassing Human Performance in Novel Object Captioning with Visual Vocabulary Pre-Training
citation	219635470	252547679	1	Denoising Large-Scale Image Captioning from Alt-text Data Using Content Selection Models
citation	219635470	221640858	0	Weakly Supervised Content Selection for Improved Image Captioning
citation	219635470	225327419	1	Image Caption Generation via Unified Retrieval and Generation-Based Method
citation	219635470	225238566	17	Text Augmentation Using BERT for Image Captioning
citation	219635470	221319740	3	Attr2Style: A Transfer Learning Approach for Inferring Fashion Styles via Apparel Attributes
citation	219635470	220935903	0	Pre-training for Video Captioning Challenge 2020 Summary
citation	219635470	220525530	11	Explore and Explain: Self-supervised Navigation and Recounting
citation	219635470	220496733	22	RATT: Recurrent Attention to Transient Tasks for Continual Image Captioning
citation	219635470	220350312	11	A unified cycle-consistent neural model for text and image retrieval
citation	219635470	220045419	25	Improving Image Captioning Evaluation by Considering Inter References Variance
citation	219635470	219966386	0	Off-Policy Self-Critical Training for Transformer in Visual Paragraph Generation
citation	219635470	251903722	0	Rethinking and Improving Natural Language Generation with Layer-Wise Multi-View Decoding
citation	219635470	216056244	6	ParaCNN: Visual Paragraph Generation via Adversarial Twin Contextual CNNs
citation	219635470	214802871	6	B-SCST: Bayesian Self-Critical Sequence Training for Image Captioning
citation	219635470	216562682	4	A Novel Attention-based Aggregation Function to Combine Vision and Language
citation	219635470	211083022	1	Component Analysis for Visual Question Answering Architectures
citation	219635470	236882711	14	Explain and improve: LRP-inference fine-tuning for image captioning models
citation	219635470	209862061	5	Understanding Image Captioning Models beyond Visualizing Attention
citation	219635470	202541612	31	A Semantics-Assisted Video Captioning Model Trained With Scheduled Sampling
citation	219635470	38142936	0	Message from Program Chairs
citation	219635470	256800128	0	Semantic-Guided Selective Representation for Image Captioning
citation	219635470	257465202	0	Affective Image Captioning for Visual Artworks Using Emotion-Based Cross-Attention Mechanisms
citation	219635470	257436138	0	EfficientNet-Transformer for image captioning in Bahasa
citation	219635470	258287955	0	Semantic Representations With Attention Networks for Boosting Image Captioning
citation	219635470	258685514	0	CLIP-VG: Self-paced Curriculum Adapting of CLIP via Exploiting Pseudo-Language Labels for Visual Grounding
citation	219635470	245631613	2	Cycle-Free Weakly Referring Expression Grounding With Self-Paced Learning
citation	219635470	259144857	0	Grounded Image Captioning in Top-down View
citation	219635470	248780552	1	Combine to Describe: Evaluating Compositional Generalization in Image Captioning
citation	219635470	253181144	0	Dense Captioning Objects in 3D Environments using Natural Language
citation	219635470	248780363	9	ViLMedic: a framework for research at the intersection of vision and language in medical AI
citation	219635470	252715488	0	Progressive Denoising Model for Fine-Grained Text-to-Image Generation
citation	219635470	231620651	3	Prophet Attention: Predicting Attention with Future Attention for Improved Image Captioning
citation	219635470	238639167	38	Multimodal research in vision and language: A review of current and emerging trends
citation	219635470	245650923	1	Layer-Wise Multi-View Decoding for Improved Natural Language Generation
citation	219635470	246889796	2	Using Neural Encoder-Decoder Models With Continuous Outputs for Remote Sensing Image Captioning
citation	219635470	247516866	0	Learning to Automatically Generate Accurate ECG Captions
citation	219635470	248392190	0	SceneTrilogy: On Scene Sketches and its Relationship with Text and Photo
citation	219635470	248780118	10	Reinforced Cross-modal Alignment for Radiology Report Generation
citation	219635470	248780337	4	Textomics: A Dataset for Genomics Data Summary Generation
citation	219635470	248780026	1	Memory-aligned Knowledge Graph for Clinically Accurate Radiology Image Report Generation
citation	219635470	250242120	0	VisualGPT Supplementary
citation	219635470	250406694	0	Multi-Modal Image Captioning Ruth-Ann Armstrong
citation	219635470	251521656	4	Exploring Transformer and Multilabel Classification for Remote Sensing Image Captioning
citation	219635470	252124004	0	Generating Coherent and Informative Descriptions for Groups of Visual Objects and Categories: A Simple Decoding Approach
citation	219635470	248358316	1	Image Captioning Model using Part-Of-Speech Guidance Module for Description with Diverse Vocabulary
citation	219635470	247401381	1	EAES: Effective Augmented Embedding Spaces for Text-based Image Captioning
citation	219635470	252624545	0	Examining the Effects of Language-and-Vision Data Augmentation for Generation of Descriptions of Human Faces
citation	219635470	252818921	1	JPG - Jointly Learn to Align: Automated Disease Prediction and Radiology Report Generation
citation	219635470	252818985	0	Building Joint Relationship Attention Network for Image-Text Generation
citation	219635470	252698238	0	Important Region Estimation Using Image Captioning
citation	219635470	253802643	0	Generating Landmark-based Manipulation Instructions from Image Pairs
citation	219635470	254155480	0	Analysis of Knowledge Distillation on Image Captioning Models
citation	219635470	254620737	1	Parallel Pathway Dense Video Captioning With Deformable Transformer
citation	219635470	255149751	0	VieCap4H - VLSP 2021: A Transformer-Based Method for Healthcare Image Captioning in Vietnamese
citation	219635470	256461120	0	Data-Efficient Playlist Captioning With Musical and Linguistic Knowledge
citation	219635470	256461377	0	Disentangled Variational Topic Inference for Topic-Accurate Financial Report Generation
citation	219635470	258463934	0	A Deep Learning based Framework for Image Paragraph Generation in Hindi
citation	219635470	231985569	8	VisualGPT: Data-efficient Image Captioning by Balancing Visual Input and Linguistic Knowledge from Pretraining
citation	219635470	235898873	36	From Show to Tell: A Survey on Image Captioning
citation	219635470	244709303	9	Universal Captioner: Long-Tail Vision-and-Language Model Training through Content-Style Separation
citation	219635470	246825621	3	AUDIO CAPTIONING WITH MESHED-MEMORY TRANSFORMER Technical Report
citation	219635470	249226524	0	ARABIC IMAGECAPTIONINGUSINGDEEP LEARNINGWITHATTENTION by SABRIMONAF SABRI
citation	219635470	245263638	3	Imageability- and Length-controllable Image Captioning
citation	219635470	231977259	2	An Image Captioning Model Based on Bidirectional Depth Residuals and its Application
citation	219635470	233394438	1	RelTransformer: Balancing the Visual Relationship Detection from Local Context, Scene and Memory
citation	219635470	233877157	9	Text to Image Synthesis for Improved Image Captioning
citation	219635470	235280321	2	A Survey on Recent Advances in Image Captioning
citation	219635470	235307646	9	A Comprehensive Survey on Computational Aesthetic Evaluation of Visual Art Images: Metrics and Challenges
citation	219635470	244404073	0	Supplementary Material for “ Semi-Autoregressive Transformer for Image Captioning ” 1
citation	219635470	244531987	3	Leveraging CLIP for Image Emotion Recognition
citation	219635470	245017831	9	Multi-modal Dependency Tree for Video Captioning
citation	219635470	245355722	1	Relation Also Need Attention: Integrating Relation Information Into Image Captioning
citation	219635470	244119615	1	Retrieval, Analogy, and Composition: A framework for Compositional Generalization in Image Captioning
citation	219635470	248397068	16	Retrieval-Based Chest X-Ray Report Generation Using a Pre-trained Contrastive Language-Image Model
citation	219635470	251047692	1	Applications of Reinforcement Learning and its Extension to Tactical Simulation Technologies
citation	219635470	244522217	0	A Scientometric Visualization Analysis of Image Captioning Research from 2010 to 2020
citation	219635470	240471209	5	Medical Image Captioning Model to Convey More Details: Methodological Comparison of Feature Difference Generation
citation	219635470	252847558	1	A Scaled Encoder Decoder Network for Image Captioning in Hindi
citation	219635470	253206889	0	Extendeded Self-Critical Pipeline for Transforming Videos to Text (VTT Task 2021) – Team: MMCUniAugsburg
citation	219635470	259123789	0	Incorporating Textual Resources to Improve Visual Question Answering
citation	219635470	228094087	0	A Sparse Transformer-Based Approach for Image Captioning
citation	219635470	228097734	23	Automatic Image and Video Caption Generation With Deep Learning: A Concise Review and Algorithmic Overlap
citation	219635470	227275661	28	Prophet Attention: Predicting Attention with Future Attention
citation	219635470	*** ERROR ***	{'paperId': None, 'externalIds': None, 'title': 'FROM P AIRED I MAGES AND T EXT', 'citationCount': None}
citation	219635470	248780337	4	Textomics: A Dataset for Genomics Data Summary Generation
